,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
50349,Minoru_Yamasaki,27.419353,153,96,160,-15.216021,6.418845,50349,7,16,0.0
50436,Gouvernement_Lionel_Jospin,18.709677,193,77,88,22.667536,-20.01717,50436,4,9,2649.9938683435585
53249,"Délivrance_(film,_1972)",21.612904,253,0,107,-9.005027,-13.850086,53249,5,22,2233.0
53688,Iqaluit,12.903226,60,163,0,-16.878376,-12.759383,53688,2,4,0.0
54436,Jacques_Becker,33.225807,255,42,47,-17.144238,-0.6934257,54436,9,1,27054.840756643483
54917,Christophe_Miossec,15.806452,185,97,239,-1.3634473,6.791918,54917,3,10,23382.6209118352
55062,Aum_Shinrikyō,15.806452,152,129,0,19.438967,-7.651961,55062,3,6,558.0
55083,Shōkō_Asahara,12.903226,152,129,0,-2.6902134,-24.62324,55083,2,6,0.0
55295,Gaston_Defferre,18.709677,0,126,172,-19.888647,0.9491397,55295,4,11,8881.824999999999
56991,Kathryn_Bigelow,15.806452,60,163,0,-14.417218,-11.91543,56991,3,13,1117.0
58247,John_Huston,36.129032,114,121,10,16.966454,-14.01848,58247,10,1,73200.19258548581
58647,Petite_ou_moyenne_entreprise,12.903226,0,134,74,-22.056202,0.89410406,58647,2,19,1117.0
59133,Jean-Pierre_Sueur,18.709677,193,77,88,-23.302101,-24.70851,59133,4,9,5116.924026673442
59967,Jean-Paul_Rappeneau,36.129032,0,168,183,-4.298034,20.360464,59967,10,5,8233.36732446652
60949,Comédie,65.16129,0,168,183,17.796295,0.77768433,60949,20,5,86996.16296343358
61454,René_Clément,18.709677,0,168,183,23.87099,-20.679636,61454,4,21,3413.7480489149534
61671,Philippe_de_Broca,53.548386,0,168,183,-11.273417,13.972151,61671,16,5,146009.81345813887
62549,Oliver_Kahn,10.0,235,94,0,-21.970806,-8.535638,62549,1,3,0.0
64006,Maria_Casarès,12.903226,0,168,183,4.2590213,3.0203304,64006,2,5,5.0
64517,Jean-François_Lamour,24.516129,193,77,88,-1.2757915,-10.050666,64517,6,9,669.3873232338796
65974,Jacques_Doriot,10.0,193,77,88,6.2891865,12.715534,65974,1,9,0.0
65979,Marcel_Déat,12.903226,193,77,88,-19.30815,17.40852,65979,2,9,1117.0
66424,Michael_Ballack,15.806452,235,94,0,18.49442,-5.4140725,66424,3,3,5.450229367109162
66429,Dimítrios_Vikélas,21.612904,192,192,192,-23.035889,5.441433,66429,5,24,35910.10350370021
68056,Dornier_Do_335,21.612904,192,192,192,10.794914,9.136954,68056,5,18,0.25
68322,John_Cassavetes,12.903226,175,95,13,19.489357,-11.445506,68322,2,22,7441.102499615201
69095,Libération_de_la_France,12.903226,0,126,172,4.752804,21.083174,69095,2,11,1117.0
69236,Uranus_(film),10.0,0,134,135,20.58736,14.401301,69236,1,0,0.0
71072,Othello_ou_le_Maure_de_Venise,18.709677,114,121,10,-10.211994,1.2257186,71072,4,1,39443.04781417994
71208,WTA_Tour,24.516129,0,164,49,-11.910882,-8.010068,71208,6,14,1027.466903490364
71363,Jean-Marie_Cavada,10.0,0,134,74,-3.2122774,11.516287,71363,1,9,0.0
71743,Grégoire_Ier,21.612904,192,192,192,-6.930947,15.920743,71743,5,2,1117.3333333333335
71833,Raï,50.64516,0,157,116,-6.9460516,-19.822834,71833,15,21,6449.3429193304655
72202,Claude_Zidi,21.612904,0,168,183,12.263712,4.7172065,72202,5,5,563.3674905160173
72352,Mistinguett,12.903226,0,134,74,13.861447,8.008085,72352,2,19,6672.0
73584,John_Boorman,24.516129,253,0,107,-3.7795434,0.035912838,73584,6,22,14924.003757178285
74034,Jean_Todt,18.709677,192,192,192,19.938932,19.756447,74034,4,17,549.7
74045,Jean_Alesi,15.806452,192,192,192,-15.55246,-12.114438,74045,3,17,2.033333333333333
75213,Électre,10.0,0,168,183,-19.98701,0.5220873,75213,1,5,0.0
75318,Que_la_fête_commence,12.903226,0,134,74,21.200552,-18.201714,75318,2,19,1117.0
76456,Fayence,15.806452,0,126,172,-16.895636,1.1596872,76456,3,11,3345.0
77009,Philippe_Labro,15.806452,0,168,183,-2.5360708,-21.636015,77009,3,5,5631.9039682539715
77303,Pittsburgh,24.516129,185,97,239,24.269304,9.564445,77303,6,10,55005.33175523556
77378,Stephen_Frears,12.903226,152,129,0,14.91672,-11.39456,77378,2,6,2232.0
77384,La_Main_au_collet,12.903226,255,42,47,-13.121674,-3.8324952,77384,2,1,1117.0
77529,Humphrey_Bogart,18.709677,114,121,10,-22.598677,23.81836,77529,4,1,4459.0
78123,Last_Action_Hero,15.806452,185,97,239,-15.143205,-9.588753,78123,3,10,2233.0
78738,Zacarias_Moussaoui,44.838707,153,96,160,18.550135,4.643449,78738,13,16,385.01117934123346
79120,"La_Reine_Margot_(film,_1994)",12.903226,235,44,170,-12.682099,-12.377493,79120,2,5,1117.0
79507,Martina_Navrátilová,39.032257,0,164,49,-24.406525,6.724456,79507,11,14,6125.380205711275
80519,Capital_(émission_de_télévision),10.0,60,163,0,1.7568873,-16.880487,80519,1,2,0.0
80537,Donald_Duck,15.806452,192,192,192,-3.353437,5.6276264,80537,3,24,1117.0
80554,Liste_de_chiens_de_fiction,12.903226,192,192,192,21.048313,-13.092187,80554,2,12,3345.0
80781,Kim_Clijsters,33.225807,0,164,49,-0.13691522,1.9190748,80781,9,14,635.6249785699765
80957,Marnes-la-Coquette,10.0,0,134,74,-7.745589,-3.747338,80957,1,19,0.0
81131,Jean-Claude_Carrière,10.0,235,44,170,-2.2161057,17.471334,81131,1,20,0.0
81295,Alain_Richard_(homme_politique),10.0,193,77,88,24.500692,19.263376,81295,1,9,0.0
81529,Parti_populaire_européen,18.709677,0,134,74,22.357327,5.4877152,81529,4,9,44831.14929725246
81600,Maurice_Chevalier,24.516129,0,134,74,-20.153135,-5.7688646,81600,6,19,22092.0
82744,"Riri,_Fifi_et_Loulou",15.806452,192,192,192,-12.354049,-7.835,82744,3,24,3345.0
84132,Robotique,27.419353,60,163,0,-7.201566,-5.648829,84132,7,4,16209.121332630219
84712,Gégène,15.806452,0,126,172,4.6943874,21.99543,84712,3,11,0.5
86993,Pierre_Moscovici,21.612904,193,77,88,9.581009,-3.4077194,86993,5,9,11971.03505302648
87420,Pierre_Mazeaud,15.806452,193,77,88,11.269594,24.602678,87420,3,9,51.0544098033117
87877,Maurice_Biraud,10.0,0,168,183,-23.285563,-5.9278035,87877,1,5,0.0
88278,Licteur,10.0,193,77,88,19.753916,10.335785,88278,1,9,0.0
88660,Théâtre_grec_antique,12.903226,0,168,183,8.108849,13.420521,88660,2,5,1117.0
89779,François_Patriat,21.612904,193,77,88,21.638088,7.9764442,89779,5,9,127.47880113131195
90874,Massacre_du_17_octobre_1961,47.741936,0,126,172,17.01004,17.897448,90874,14,11,2074.392502539123
92187,Le_Frelon_vert,10.0,185,97,239,-8.602353,-17.256609,92187,1,10,0.0
93986,Ernst_Lubitsch,12.903226,0,134,74,0.35174868,23.829199,93986,2,19,1117.0
94546,Odessa,12.903226,192,192,192,16.374756,22.728142,94546,2,24,4456.0
94994,Cheikha_Remitti,18.709677,0,157,116,-20.530577,-21.31133,94994,4,21,0.0
95560,Williams_F1_Team,44.838707,192,192,192,-9.605802,13.395349,95560,13,17,1773.7000000000119
