,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
61,Advanced Micro Devices,12.686567,192,192,192,9.234199,-16.520315,61,3,35,0.0,Q128896
103,Aton,20.74627,0,134,135,-10.841246,0.7020351,103,9,14,2101.806935521646,Q130227
206,Alfred Nobel,11.343284,114,121,10,22.848211,24.86289,206,2,17,22046.31774916983,Q23810
316,Lampe à incandescence halogène,10.0,114,121,10,-14.543655,-12.76539,316,1,17,0.0,Q1114190
341,Amenhotep III,31.492537,0,134,135,-10.848696,-14.589257,341,17,14,5114.8996464852,Q42606
525,Conseil de sécurité des Nations unies,35.52239,253,0,107,5.2798057,-0.8103743,525,20,6,192165.49125612964,Q37470
555,Collège en France,22.089554,192,192,192,-24.395319,-24.93162,555,10,10,68527.46800543356,Q1459186
586,Château,16.716417,192,192,192,13.026592,21.663218,586,6,21,75408.72871548249,Q751876
591,Chimie organique,11.343284,192,192,192,19.722578,4.0417166,591,2,28,2.5,Q11351
638,Corinne Lepage,42.238808,193,77,88,-1.6324427,6.1709924,638,25,10,54452.69397634887,Q291341
647,Liste des communes de la Charente-Maritime,10.0,192,192,192,6.8478312,2.5269895,647,1,19,0.0,Q327345
707,Confucianisme,10.0,253,0,107,-18.433094,20.069818,707,1,6,0.0,Q9581
725,Cyberpunk,15.373135,255,42,47,21.809832,-17.174393,725,5,13,24146.0,Q174526
844,Dagobert Ier,10.0,152,129,0,6.0640554,-3.4198873,844,1,12,0.0,Q109860
856,Dragon Quest,11.343284,192,192,192,8.545248,-20.290909,856,2,35,0.0,Q615908
1080,Extrême droite,38.208954,193,77,88,16.69771,17.71909,1080,22,10,246358.54213752673,Q204481
1153,Jeu de tir à la première personne,18.059702,192,192,192,6.3889256,-22.597359,1153,7,35,11523.044556473673,Q185029
1178,Fanzine,10.0,235,94,0,9.05043,-1.3829907,1178,1,27,0.0,Q181298
1198,Ariane (fusée),14.029851,192,192,192,-20.37687,12.52226,1198,4,28,4832.0,Q131535
1211,Élection présidentielle française de 2002,39.55224,193,77,88,3.5596652,-19.542158,1211,23,10,39963.72114714225,Q1129306
1331,Gérard Manset,10.0,235,44,170,-0.84545964,-21.640625,1331,1,4,0.0,Q3124164
1339,Greenpeace,36.86567,193,77,88,-3.2470613,-1.7041392,1339,21,10,62543.85554871413,Q81307
1362,Histoire du Japon,26.119404,0,160,220,5.729046,2.954205,1362,13,15,72685.71790509629,Q130436
1384,Hewlett-Packard,22.089554,192,192,192,-7.3829374,0.86177754,1384,10,10,203756.2322292022,Q80978
1391,Howard Carter,11.343284,0,134,135,9.309097,14.923966,1391,2,14,104.10262046450013,Q133682
1445,Hongrois,11.343284,0,160,220,-4.4658976,-10.841707,1445,2,24,28962.0,Q9067
1480,Homo habilis,14.029851,192,192,192,-20.799757,8.609903,1480,4,20,0.0,Q101373
1481,Homo erectus,16.716417,192,192,192,24.485647,-15.918214,1481,6,20,4696.913285401238,Q101362
1483,Homme de Néandertal,23.432835,192,192,192,-8.634295,-19.155142,1483,11,20,76728.14813536007,Q40171
1638,Jeu de rôle sur table,12.686567,192,192,192,-5.463466,21.259123,1638,3,15,8597.911379279085,Q1643932
1644,John Woo,12.686567,235,94,0,-17.018541,20.057749,1644,3,18,15039.852944090493,Q55432
1681,Kamikaze,14.029851,193,77,88,-5.1609263,16.658989,1681,4,20,78721.63677188207,Q133194
1773,Les Verts (France),43.58209,193,77,88,-21.324368,23.246006,1773,26,10,10053.963089492423,Q743390
1804,Ludwig Wittgenstein,10.0,192,192,192,20.235674,-17.281101,1804,1,17,0.0,Q9391
1889,Louis Malle,23.432835,255,42,47,-22.395285,-0.029276662,1889,11,13,324030.7356921432,Q55392
1956,Militaire,20.74627,153,96,160,9.303854,-4.392311,1956,9,18,94593.95883673888,Q4991371
2029,Marché commun du Sud,15.373135,193,77,88,-13.653307,-21.302814,2029,5,10,11807.717138308877,Q4264
2113,Marcel Aymé,16.716417,0,134,74,-17.345573,-4.931915,2113,6,4,158027.685296014,Q318026
2212,Entier naturel,24.77612,192,192,192,12.112442,22.14219,2212,12,15,40980.36434234548,Q21199
2258,Organisation des Nations unies,57.014923,253,0,107,-0.28196746,7.524224,2258,36,6,262318.06156557286,Q1065
2414,Proton,26.119404,114,121,10,-19.975674,5.1031423,2414,13,17,16940.35598184568,Q2294
2428,Photographie argentique,15.373135,114,121,10,9.737968,4.323064,2428,5,17,55537.761404922,Q355516
2469,Pierre Boulle,10.0,193,77,88,11.409417,20.064123,2469,1,10,0.0,Q219910
2566,Radiographie,10.0,192,192,192,7.9366,4.1459823,2566,1,17,0.0,Q245341
2580,Rassemblement pour la République,27.462687,193,77,88,-22.778502,-17.759659,2580,14,10,26361.22397949473,Q1052584
2585,René Dumont,24.77612,193,77,88,-5.82357,11.992691,2585,12,10,11644.469330740809,Q927879
2599,Rhythm and blues,38.208954,54,124,233,14.0686865,-14.87169,2599,22,5,48717.563438270845,Q45981
2624,Réseau téléphonique commuté,11.343284,192,192,192,-15.264965,-20.53635,2624,2,15,4832.0,Q243961
2808,Sekhmet,11.343284,0,134,135,24.46545,-0.97383267,2808,2,14,0.0,Q146104
2869,Syntaxe,10.0,192,192,192,9.740868,6.7722874,2869,1,15,0.0,Q37437
2898,Musique soul,43.58209,54,124,233,13.203058,3.428404,2898,26,5,72188.95200812296,Q131272
2984,Télévision,36.86567,192,192,192,-5.3419595,-12.880219,2984,21,1,202665.84948775763,Q289
3158,V2 (missile),11.343284,0,134,74,10.684963,6.141977,3158,2,1,4832.0,Q174640
3172,V. S. Naipaul,14.029851,192,192,192,17.476215,17.780119,3172,4,6,45438.43614468639,Q44593
4064,Économie du Venezuela,11.343284,253,0,107,11.790049,-23.10044,4064,2,6,0.0,Q2091196
4284,Mouvement artistique,11.343284,114,121,10,8.002414,5.3909407,4284,2,17,1719.2702494525088,Q968159
4537,Henri Poincaré,14.029851,0,148,245,9.892813,-5.5866957,4537,4,10,37210.787689261415,Q81082
4607,Malgache,12.686567,0,126,172,3.285898,-17.48909,4607,3,24,5762.477351093563,Q7930
4657,Gouvernement de la République française,63.731342,193,77,88,15.246125,-18.545069,4657,41,10,95761.81474248703,Q1450662
4881,Neutron,12.686567,192,192,192,21.157347,9.499888,4881,3,17,11795.668604101416,Q2348
4909,Réserve fédérale des États-Unis,15.373135,153,96,160,23.841864,-9.079532,4909,5,18,34576.692159764585,Q53536
4932,Nara,10.0,0,160,220,-8.859505,-10.157631,4932,1,15,0.0,Q169134
4966,Acapulco,14.029851,192,192,192,21.678766,-19.223604,4966,4,8,3167.6653271177356,Q81398
5060,Bradycardie,10.0,54,124,233,-23.376684,-1.4728094,5060,1,5,0.0,Q217111
5078,Pie X,11.343284,192,192,192,-22.344622,-9.523001,5078,2,21,11737.745104838054,Q43739
5137,Trygve Lie,27.462687,253,0,107,-20.608763,-22.530474,5137,14,6,141.9753892592457,Q1271
5312,Oyonnax,12.686567,152,129,0,1.9837902,-16.192213,5312,3,12,16636.11268982619,Q191856
5487,Vitamine,14.029851,192,192,192,-9.254168,7.836813,5487,4,20,26358.44503462389,Q34956
5532,Agriculture biologique,15.373135,193,77,88,11.075789,3.5241435,5532,5,10,16249.58819168948,Q165647
5624,Jean-Pierre Raffarin,16.716417,54,124,233,8.694756,-11.110958,5624,6,5,88494.96709877397,Q63263
6094,Virgile,18.059702,0,134,74,4.7184496,9.014683,6094,7,1,66280.26915376635,Q1398
6116,Nombre réel,24.77612,192,192,192,5.4056826,21.027473,6116,12,15,17525.497921972237,Q12916
6121,Liste des mouvements littéraires,11.343284,114,121,10,-11.97357,-12.097908,6121,2,17,8764.32698826608,Q3083584
6131,Fraternité sacerdotale Saint-Pie-X,15.373135,192,192,192,1.407916,-23.53152,6131,5,21,54109.55807189235,Q868160
6160,Accord de libre-échange nord-américain,23.432835,193,77,88,-4.707183,12.913493,6160,11,10,80915.07779625885,Q181574
6591,Chloroforme,11.343284,114,121,10,-12.996179,24.47605,6591,2,17,0.0,Q172275
6755,Orgue,22.089554,54,124,233,9.3288965,-9.366175,6755,10,5,119068.50500112337,Q281460
6917,Numéro atomique,16.716417,114,121,10,-1.9480442,-18.713797,6917,6,17,940.235045055405,Q23809
7138,Étienne de La Boétie,14.029851,192,192,192,-9.677699,-7.6588297,7138,4,6,66104.6745815926,Q290227
7228,Thèbes (Égypte),34.179108,0,134,135,23.390049,-16.341976,7228,19,14,135468.45427899287,Q101583
7331,Thalès,14.029851,192,192,192,-21.219458,23.684416,7331,4,15,30570.622635468913,Q36303
7355,Années 1920,22.089554,153,96,160,-3.686991,-19.935457,7355,10,18,297338.8824392469,Q35736
7436,Compositeur,67.76119,54,124,233,-10.908823,-4.5091724,7436,44,5,404546.21065854206,Q36834
7491,Delaware,14.029851,192,192,192,-20.502384,-0.5164039,7491,4,21,77305.7612801557,Q1393
7526,Kansas,18.059702,192,192,192,-11.053317,-6.134564,7526,7,21,211833.26993507476,Q1558
7541,Immigration,19.402985,114,121,10,2.9742289,1.1648314,7541,8,10,70236.50286435103,Q131288
7677,Champ électrique,22.089554,114,121,10,-15.529159,-13.308146,7677,10,17,14179.73715992698,Q46221
7678,Yucatán,10.0,192,192,192,3.4677649,-19.115807,7678,1,5,0.0,Q60176
7810,Richard Feynman,12.686567,192,192,192,-14.833872,15.424892,7810,3,21,60823.33979484735,Q39246
7852,Jeu de simulation,11.343284,192,192,192,-2.7923994,17.141325,7852,2,28,0.0,Q1610017
7862,Liste des communes de la Manche,19.402985,192,192,192,8.235126,24.516012,7862,8,19,564.7398798110706,Q497726
7882,Liste des communes des Pyrénées-Orientales,15.373135,192,192,192,-15.699524,-4.6202636,7882,5,19,4832.0,Q743727
7886,Liste des communes de la Haute-Saône,16.716417,192,192,192,-10.312644,17.63791,7886,6,19,0.0,Q391114
7892,Liste des communes de la Seine-Maritime,11.343284,0,134,74,9.282349,-7.3414397,7892,2,1,4832.0,Q651590
7893,Liste des communes de Seine-et-Marne,20.74627,192,192,192,-17.882832,19.905407,7893,9,19,27178.44425559607,Q651624
7896,Liste des communes de la Somme,12.686567,0,134,74,-20.872587,-13.534139,7896,3,1,14492.0,Q456522
8006,Liste des communes du Finistère,19.402985,192,192,192,2.892967,-6.2234297,8006,8,19,6525.000606324571,Q320212
8008,Liste des communes de la Haute-Garonne,18.059702,192,192,192,5.2420735,0.27962798,8008,7,19,10.484709024249618,Q329672
8013,Liste des communes du département du Jura,15.373135,192,192,192,-19.997038,-4.7575297,8013,5,19,0.0,Q392443
8528,Homosexualité dans le christianisme,12.686567,153,96,160,-23.706861,-12.515088,8528,3,18,9663.0,Q767892
8562,Ordre du Mérite agricole,11.343284,152,129,0,-9.901546,9.95796,8562,2,12,6676.169454576069,Q717293
8598,Médaille militaire,12.686567,192,192,192,7.3639193,-13.437509,8598,3,21,19319.0,Q1465214
8621,Dmitri Mendeleïev,15.373135,114,121,10,-14.874668,14.93432,8621,5,17,5710.18946999871,Q9106
8679,Rabindranath Tagore,15.373135,192,192,192,-19.065125,-12.2631235,8679,5,6,26792.38941973412,Q7241
8751,Molécule,26.119404,114,121,10,-3.0955708,6.0547247,8751,13,17,186443.89005382443,Q11369
8772,Béthune,15.373135,175,95,13,-22.240007,9.99285,8772,5,10,8932.710098602689,Q207145
8876,Dynastie lagide,28.805971,0,134,135,15.190057,-0.81062156,8876,15,14,31145.200913746776,Q131976
8912,Micronation,14.029851,193,77,88,-22.571484,-20.805868,8912,4,10,1519.4315293021107,Q188443
8969,Néonazisme,15.373135,193,77,88,-9.259584,3.0047512,8969,5,10,17555.669391158637,Q151250
9013,Alexis Carrel,12.686567,0,157,116,2.9030726,12.738063,9013,3,11,2399.5977690927675,Q185777
9242,Tim Berners-Lee,12.686567,193,77,88,-22.75183,12.063858,9242,3,10,8790.463658740586,Q80
