,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
61,Advanced_Micro_Devices,12.686567,192,192,192,9.234199,-16.520315,61,3,9,0.0
103,Aton,20.74627,0,134,135,-10.841246,0.7020351,103,9,14,2101.806935521646
206,Alfred_Nobel,11.343284,114,121,10,22.848211,24.86289,206,2,17,22046.31774916983
316,Lampe_à_incandescence_halogène,10.0,114,121,10,-14.543655,-12.76539,316,1,17,0.0
341,Amenhotep_III,31.492537,0,134,135,-10.848696,-14.589257,341,17,14,5114.8996464852
525,Conseil_de_sécurité_des_Nations_unies,35.52239,253,0,107,5.2798057,-0.8103743,525,20,6,192165.49125612964
555,Collège_en_France,22.089554,192,192,192,-24.395319,-24.93162,555,10,10,68527.46800543356
586,Château,16.716417,192,192,192,13.026592,21.663218,586,6,11,75408.72871548249
591,Chimie_organique,11.343284,192,192,192,19.722578,4.0417166,591,2,11,2.5
638,Corinne_Lepage,42.238808,193,77,88,-1.6324427,6.1709924,638,25,10,54452.69397634887
647,Liste_des_communes_de_la_Charente-Maritime,10.0,192,192,192,6.8478312,2.5269895,647,1,19,0.0
707,Confucianisme,10.0,253,0,107,-18.433094,20.069818,707,1,22,0.0
725,Cyberpunk,15.373135,255,42,47,21.809832,-17.174393,725,5,13,24146.0
844,Dagobert_Ier,10.0,152,129,0,6.0640554,-3.4198873,844,1,12,0.0
856,Dragon_Quest,11.343284,192,192,192,8.545248,-20.290909,856,2,9,0.0
1080,Extrême_droite,38.208954,193,77,88,16.69771,17.71909,1080,22,10,246358.54213752673
1153,Jeu_de_tir_à_la_première_personne,18.059702,192,192,192,6.3889256,-22.597359,1153,7,9,11523.044556473673
1178,Fanzine,10.0,235,94,0,9.05043,-1.3829907,1178,1,12,0.0
1198,Ariane_(fusée),14.029851,192,192,192,-20.37687,12.52226,1198,4,11,4832.0
1211,Élection_présidentielle_française_de_2002,39.55224,193,77,88,3.5596652,-19.542158,1211,23,10,39963.72114714225
1331,Gérard_Manset,10.0,235,44,170,-0.84545964,-21.640625,1331,1,4,0.0
1339,Greenpeace,36.86567,193,77,88,-3.2470613,-1.7041392,1339,21,10,62543.85554871413
1362,Histoire_du_Japon,26.119404,0,160,220,5.729046,2.954205,1362,13,15,72685.71790509629
1384,Hewlett-Packard,22.089554,192,192,192,-7.3829374,0.86177754,1384,10,10,203756.2322292022
1391,Howard_Carter,11.343284,0,134,135,9.309097,14.923966,1391,2,14,104.10262046450013
1445,Hongrois,11.343284,0,160,220,-4.4658976,-10.841707,1445,2,24,28962.0
1480,Homo_habilis,14.029851,192,192,192,-20.799757,8.609903,1480,4,22,0.0
1481,Homo_erectus,16.716417,192,192,192,24.485647,-15.918214,1481,6,22,4696.913285401238
1483,Homme_de_Néandertal,23.432835,192,192,192,-8.634295,-19.155142,1483,11,22,76728.14813536007
1638,Jeu_de_rôle_sur_table,12.686567,192,192,192,-5.463466,21.259123,1638,3,15,8597.911379279085
1644,John_Woo,12.686567,235,94,0,-17.018541,20.057749,1644,3,18,15039.852944090493
1681,Kamikaze,14.029851,193,77,88,-5.1609263,16.658989,1681,4,22,78721.63677188207
1773,Les_Verts_(France),43.58209,193,77,88,-21.324368,23.246006,1773,26,10,10053.963089492423
1804,Ludwig_Wittgenstein,10.0,192,192,192,20.235674,-17.281101,1804,1,17,0.0
1889,Louis_Malle,23.432835,255,42,47,-22.395285,-0.029276662,1889,11,13,324030.7356921432
1956,Militaire,20.74627,153,96,160,9.303854,-4.392311,1956,9,18,94593.95883673888
2029,Marché_commun_du_Sud,15.373135,193,77,88,-13.653307,-21.302814,2029,5,10,11807.717138308877
2113,Marcel_Aymé,16.716417,0,134,74,-17.345573,-4.931915,2113,6,9,158027.685296014
2212,Entier_naturel,24.77612,192,192,192,12.112442,22.14219,2212,12,15,40980.36434234548
2258,Organisation_des_Nations_unies,57.014923,253,0,107,-0.28196746,7.524224,2258,36,6,262318.06156557286
2414,Proton,26.119404,114,121,10,-19.975674,5.1031423,2414,13,17,16940.35598184568
2428,Photographie_argentique,15.373135,114,121,10,9.737968,4.323064,2428,5,17,55537.761404922
2469,Pierre_Boulle,10.0,193,77,88,11.409417,20.064123,2469,1,10,0.0
2566,Radiographie,10.0,192,192,192,7.9366,4.1459823,2566,1,17,0.0
2580,Rassemblement_pour_la_République,27.462687,193,77,88,-22.778502,-17.759659,2580,14,10,26361.22397949473
2585,René_Dumont,24.77612,193,77,88,-5.82357,11.992691,2585,12,10,11644.469330740809
2599,Rhythm_and_blues,38.208954,54,124,233,14.0686865,-14.87169,2599,22,5,48717.563438270845
2624,Réseau_téléphonique_commuté,11.343284,192,192,192,-15.264965,-20.53635,2624,2,15,4832.0
2808,Sekhmet,11.343284,0,134,135,24.46545,-0.97383267,2808,2,14,0.0
2869,Syntaxe,10.0,192,192,192,9.740868,6.7722874,2869,1,15,0.0
2898,Musique_soul,43.58209,54,124,233,13.203058,3.428404,2898,26,5,72188.95200812296
2984,Télévision,36.86567,192,192,192,-5.3419595,-12.880219,2984,21,1,202665.84948775763
3158,V2_(missile),11.343284,0,134,74,10.684963,6.141977,3158,2,1,4832.0
3172,V._S._Naipaul,14.029851,192,192,192,17.476215,17.780119,3172,4,7,45438.43614468639
4064,Économie_du_Venezuela,11.343284,253,0,107,11.790049,-23.10044,4064,2,6,0.0
4284,Mouvement_artistique,11.343284,114,121,10,8.002414,5.3909407,4284,2,17,1719.2702494525088
4537,Henri_Poincaré,14.029851,0,148,245,9.892813,-5.5866957,4537,4,10,37210.787689261415
4607,Malgache,12.686567,0,126,172,3.285898,-17.48909,4607,3,24,5762.477351093563
4657,Gouvernement_de_la_République_française,63.731342,193,77,88,15.246125,-18.545069,4657,41,10,95761.81474248703
4881,Neutron,12.686567,192,192,192,21.157347,9.499888,4881,3,17,11795.668604101416
4909,Réserve_fédérale_des_États-Unis,15.373135,153,96,160,23.841864,-9.079532,4909,5,18,34576.692159764585
4932,Nara,10.0,0,160,220,-8.859505,-10.157631,4932,1,15,0.0
4966,Acapulco,14.029851,192,192,192,21.678766,-19.223604,4966,4,8,3167.6653271177356
5060,Bradycardie,10.0,54,124,233,-23.376684,-1.4728094,5060,1,5,0.0
5078,Pie_X,11.343284,192,192,192,-22.344622,-9.523001,5078,2,11,11737.745104838054
5137,Trygve_Lie,27.462687,253,0,107,-20.608763,-22.530474,5137,14,6,141.9753892592457
5312,Oyonnax,12.686567,152,129,0,1.9837902,-16.192213,5312,3,12,16636.11268982619
5487,Vitamine,14.029851,192,192,192,-9.254168,7.836813,5487,4,14,26358.44503462389
5532,Agriculture_biologique,15.373135,193,77,88,11.075789,3.5241435,5532,5,10,16249.58819168948
5624,Jean-Pierre_Raffarin,16.716417,54,124,233,8.694756,-11.110958,5624,6,5,88494.96709877397
6094,Virgile,18.059702,0,134,74,4.7184496,9.014683,6094,7,7,66280.26915376635
6116,Nombre_réel,24.77612,192,192,192,5.4056826,21.027473,6116,12,15,17525.497921972237
6121,Liste_des_mouvements_littéraires,11.343284,114,121,10,-11.97357,-12.097908,6121,2,17,8764.32698826608
6131,Fraternité_sacerdotale_Saint-Pie-X,15.373135,192,192,192,1.407916,-23.53152,6131,5,21,54109.55807189235
