,Label,Id,Degree,modularity_class,betweenesscentrality
107,Alger,107,23,7,101964.96765990005
266,Arvo_Pärt,266,3,9,15928.200258926272
619,Coupe_du_monde_de_football_2002,619,15,15,9394.376405695315
634,Château_de_Pierrefonds,634,2,1,22.36001975605457
643,Liste_des_communes_de_la_Gironde,643,1,4,0.0
728,Cecil_B._DeMille,728,9,11,42456.178187055426
804,Carole_Lombard,804,5,11,37841.3583883016
1131,Frank_Herbert,1131,7,12,0.0
1333,Georges_Brassens,1333,18,3,224243.65512125936
1391,Howard_Carter,1391,2,22,0.0
1483,Homme_de_Néandertal,1483,3,18,760.8325256912949
2474,Portishead_(groupe),2474,1,3,0.0
2520,Prix_Ig-Nobel,2520,1,22,0.0
2830,Soudan,2830,5,16,36351.50917823185
5076,Pie_XI,5076,15,6,148355.2647408862
5077,Benoît_XV,5077,8,6,10778.953283170244
5078,Pie_X,5078,17,6,110083.98172050886
6131,Fraternité_sacerdotale_Saint-Pie-X,6131,11,6,36679.39880254885
6295,Estrémadure,6295,2,4,2054.760879286473
6526,Biochimie,6526,1,4,0.0
6644,Mohamed_Boudiaf,6644,10,7,852.0232152474322
6878,Tallinn,6878,6,3,72186.89852917027
7300,Joe_Strummer,7300,2,3,0.0
7697,Bichkek,7697,3,8,84794.04882397968
7735,Cocktail,7735,2,26,3453.0
7858,Liste_des_communes_du_Lot,7858,2,4,3453.0
8018,Pascal,8018,2,1,3452.9999999999995
8333,Gouvernement_fédéral_(Belgique),8333,2,13,0.0
8641,Columbia_(navette_spatiale),8641,1,8,0.0
8665,Navette_spatiale,8665,2,8,3453.0000000000005
9299,Xavier_Bertrand,9299,4,4,3669.927340185434
9402,Salvador,9402,11,16,97193.73419360252
9490,Osteichthyes,9490,1,18,0.0
9513,Claude_Évin,9513,1,16,0.0
9958,Cobra_(manga),9958,1,1,0.0
10156,Hervé_Morin,10156,3,4,9076.116215006525
10410,Forbach,10410,5,8,33254.02400072417
10941,Keren_Ann,10941,3,3,5194.2363668840835
11010,Villefranche-de-Rouergue,11010,2,26,0.0
11753,Île-de-Bréhat,11753,1,4,0.0
12063,Sievert,12063,1,19,0.0
12406,Calligraphie,12406,1,13,0.0
12428,Kaboul,12428,16,14,100005.34339674612
12625,Hartford_(Connecticut),12625,5,25,150125.0
12859,Fouesnant,12859,3,4,3453.0
13892,Max_Jacob,13892,7,13,26664.884485223825
14055,Sully_Prudhomme,14055,3,1,18921.650622263405
14948,Rajasthan,14948,3,11,13804.0
15634,Conjecture_de_Syracuse,15634,1,6,0.0
15836,Bratislava,15836,9,8,81324.18441494221
15887,François_Cheng,15887,4,13,10356.0
16076,La_Hoguette,16076,2,13,14178.975231785336
16547,Études_supérieures_en_France,16547,4,19,11195.545641348514
16633,Karl-Wilhelm_Naundorff,16633,1,27,0.0
18173,Abbaye_du_Mont-Saint-Michel,18173,4,6,9611.408852262783
18637,Richard_Neville_(16e_comte_de_Warwick),18637,17,21,49690.566911372116
19035,Grisou,19035,4,19,110.39401313338105
19546,Vitry-le-François,19546,5,4,73315.96006142265
19717,Mickey_3D,19717,1,9,0.0
19784,Bob_Morane,19784,1,1,0.0
19894,Saint-James,19894,2,4,5233.697718350474
20767,Jean_Rostand,20767,2,1,8569.497880202256
20890,Vaison-la-Romaine,20890,5,4,41735.09690466272
20899,Stanislas_Leszczynski,20899,10,8,7810.987679142968
20946,Louison_Bobet,20946,30,23,196480.75327177148
21377,Elsa_Morante,21377,1,1,0.0
21469,Alberto_Moravia,21469,7,1,26169.39480186117
