,Main_Topics,Higher_Weighted_Article
0,Sports (0.26) / Politics_and_government (0.0) / Business_and_economics (0.0) ,Saison 2017-2018 du Liverpool FC (716)
1,Media* (0.18) / Television (0.11) / Society (0.03) ,Saisons 11 et 12 de Columbo (255)
2,Politics_and_government (0.11) / Military_and_warfare (0.05) / History (0.03) ,Groupe La République en marche (Assemblée nationale) (368)
3,Sports (0.25) / Northern_Europe (0.11) / Europe* (0.23) ,Coupe de la Ligue anglaise de football (103)
4,Media* (0.09) / Films (0.04) / History (0.04) ,Une histoire simple (303)
5,Media* (0.11) / Films (0.03) / Literature (0.04) ,American Broadcasting Company (315)
6,Media* (0.12) / Television (0.02) / Films (0.02) ,Un homme et une femme (379)
7,Media* (0.14) / Films (0.06) / Literature (0.03) ,"Rambo (film, 1982) (359)"
8,Media* (0.1) / Films (0.04) / Literature (0.02) ,Les Lyonnais (331)
9,Media* (0.11) / Music (0.05) / Television (0.02) ,Taratata (238)
10,Sports (0.3) / Visual_arts* (0.01) / Architecture (0.01) ,Phil Mickelson (1447)
11,Media* (0.08) / Philosophy_and_religion (0.03) / Politics_and_government (0.05) ,Les Terriens du dimanche ! (88)
12,Sports (0.23) / Media* (0.02) / Television (0.01) ,Olympique Gymnaste Club Nice (2243)
13,Media* (0.08) / Films (0.04) / Military_and_warfare (0.04) ,Les Visiteurs (série de films) (300)
14,Media* (0.07) / Politics_and_government (0.04) / Literature (0.04) ,Nicky Larson et le Parfum de Cupidon (171)
15,Media* (0.14) / Performing_arts (0.11) / Television (0.08) ,Saison 7 de Danse avec les stars (244)
16,Sports (0.2) / Media* (0.03) / Television (0.03) ,Course en ligne masculine aux championnats du monde de cyclisme sur route 2018 (585)
17,Sports (0.21) / Society (0.05) / Media* (0.03) ,Liste des lauréats des The Best FIFA Football Awards (217)
18,Sports (0.27) / Society (0.04) / Transportation (0.01) ,Nico Rosberg (262)
19,Sports (0.27) / Society (0.01) / Military_and_warfare (0.01) ,Ligue mondiale de volley-ball (357)
20,Sports (0.32) / Education (0.01) / Western_Europe (0.11) ,Heptathlon (360)
21,Sports (0.17) / Visual_arts* (0.04) / Biography* (0.17) ,Pierre-Hugues Herbert (31)
22,Sports (0.12) / Business_and_economics (0.12) / Education (0.03) ,World Boxing Council (25)
