,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
385601,Charlotte_Delbo,21,10.0,253,0,107,18.839827,13.142756,385601,1,14,0.0
387379,Michael_Sarrazin,22,10.0,0,134,135,-7.8429446,13.144459,387379,1,8,0.0
393828,Romain_Barras,7,24.0625,41,139,0,-9.564985,11.400478,393828,6,20,0.26785714285714285
395368,Tournage_(audiovisuel),13,18.4375,185,97,239,7.7835984,16.130724,395368,4,8,26373.168306628213
395548,Browns_de_Cleveland,3,12.8125,192,192,192,-8.797817,4.305956,395548,2,5,1153.0
395765,Rams_de_Los_Angeles,5,10.0,152,129,0,-14.902472,-22.045702,395765,1,19,0.0
396768,Équipe_du_Brésil_de_volley-ball,18,18.4375,114,121,10,-24.870567,5.068861,396768,4,19,1153.0
397355,Sergio_García_Fernández,5,80.3125,152,129,0,22.207235,-11.848903,397355,26,10,818.2244753833895
400331,Orpea,20,10.0,192,192,192,-0.12241079,-12.716805,400331,1,22,0.0
401471,Special_Forces,14,15.625,235,44,170,10.116312,-4.574389,401471,3,7,1153.0
401861,Ryder_Cup_1999,5,40.9375,152,129,0,3.327604,1.7751402,401861,12,10,77.82696838965752
404157,Hôtel_de_ville_de_Paris,25,18.4375,255,42,47,-4.024782,-15.311364,404157,4,13,35194.87147091395
406179,Championnat_du_monde_de_cyclisme_sur_route_féminin,10,29.6875,0,134,74,20.40376,-3.7232969,406179,8,16,12073.683149774957
406822,Didier_Flamand,15,12.8125,153,96,160,-13.951875,-23.24587,406822,2,9,3691.339541830705
409218,Alain_de_Benoist,11,10.0,0,126,172,22.895397,23.667604,409218,1,11,0.0
412535,Mark_van_Bommel,2,10.0,235,94,0,10.699516,12.503035,412535,1,0,0.0
413978,Alberto_Gilardino,16,10.0,0,160,220,23.609999,-9.818756,413978,1,17,0.0
414967,Nicolas_Vanier,22,15.625,0,134,135,-13.565697,14.785105,414967,3,8,15458.926269235086
415199,"Le_Magnifique_(film,_1973)",14,12.8125,235,44,170,-6.6242537,-15.788118,415199,2,7,13583.898484649882
418490,Marcia_Cross,23,15.625,0,164,49,-7.8762074,19.27975,418490,3,1,24925.0
418517,Doug_Savant,23,12.8125,0,164,49,-22.293385,16.692913,418517,2,1,26013.0
422812,"Cléopâtre_(film,_1963)",8,10.0,60,163,0,-12.419837,19.802485,422812,1,4,0.0
424340,Zoumana_Camara,19,10.0,193,77,88,-6.6089892,11.809475,424340,1,12,0.0
428377,Alexia_Laroche-Joubert,10,15.625,0,134,74,-16.424782,20.860336,428377,3,16,1728.5
428765,AEK_Athènes_FC,2,12.8125,235,94,0,-24.75561,-17.916906,428765,2,0,1153.0
430266,"Les_Rois_maudits_(mini-série,_2005)",8,18.4375,60,163,0,-16.013262,-24.080667,430266,4,4,3455.0
430903,Dominique_Blanc,8,21.25,60,163,0,22.223743,0.8643311,430903,5,4,23717.04211143491
432079,Aouda_Abou_Tayi,14,10.0,235,44,170,3.9892697,3.703253,432079,1,7,0.0
435575,Chloé_Mons,12,15.625,175,95,13,0.8312093,17.353096,435575,3,9,11144.006418413994
435902,Exécution_de_Maximilien_de_Robespierre,25,21.25,255,42,47,11.600419,-8.069448,435902,5,13,532.8263163656269
437287,Ariane_Massenet,9,18.4375,0,168,183,13.32289,-14.205429,437287,4,6,8365.633768700385
437629,Robert_Antelme,11,12.8125,0,126,172,16.25488,20.211061,437629,2,11,1153.0
438931,Jean-Paul_Cluzel,0,10.0,54,124,233,-3.9938607,-1.7305762,438931,1,2,0.0
