,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
1004,Espéranto,23,12.8125,0,164,49,-5.570476,7.649981,1004,2,1,44560.0,Q143
7490,Dakota du Sud,3,24.0625,192,192,192,3.1262348,4.8676286,7490,6,5,28379.5,Q1211
7545,Maryland,3,18.4375,192,192,192,-6.8982368,7.7248363,7545,4,5,3455.0,Q1391
8338,City Hunter,17,18.4375,192,192,192,9.734305,16.181738,8338,4,14,0.0,Q714064
9407,Nauru,3,15.625,192,192,192,15.628523,-3.2695293,9407,3,5,3453.0,Q697
9462,États fédérés de Micronésie,3,21.25,192,192,192,-2.0884109,20.75716,9462,5,5,17101.0,Q702
9599,Élisabeth Guigou,27,10.0,192,192,192,-9.867503,-4.127359,9599,1,2,0.0,Q274689
9836,Ryô Saeba,17,18.4375,192,192,192,18.592014,-14.474599,9836,4,14,0.0,Q3454058
9839,Kaori Makimura,17,18.4375,192,192,192,15.418453,4.540322,9839,4,14,0.0,Q766827
9863,Umibôzu (City Hunter),17,18.4375,192,192,192,1.0399675,-8.781592,9863,4,14,0.0,Q4003531
11782,François Cavanna,9,26.875,0,168,183,9.136578,9.8539505,11782,7,6,50732.94251435818,Q324820
13315,Maurice Druon,8,21.25,60,163,0,19.827711,4.412953,13315,5,4,10543.461063884632,Q223949
13892,Max Jacob,21,18.4375,253,0,107,16.577267,-22.981136,13892,4,14,5255.86519460072,Q156214
17598,Édouard Herriot,0,21.25,54,124,233,20.478626,-8.879535,17598,5,2,688.8819928337332,Q274344
23409,Francisque Collomb,0,15.625,54,124,233,22.644484,-14.614062,23409,3,2,0.0,Q800007
23410,Michel Noir,0,15.625,54,124,233,-24.704546,20.882595,23410,3,2,0.0,Q3310469
27555,Open de France,5,40.9375,152,129,0,-0.28235668,18.509233,27555,12,10,67979.38422228744,Q1780193
27824,Épicure,11,10.0,0,126,172,5.403721,-8.673583,27824,1,11,0.0,Q43216
28013,Emmanuelle Béart,21,18.4375,253,0,107,-5.2462463,-8.65591,28013,4,14,4604.0,Q106458
28189,Laurent Jalabert,10,32.5,0,134,74,3.750742,16.983221,28189,9,16,1502.979166666651,Q13485
33318,Philippe Geluck,9,21.25,0,168,183,-24.020144,2.4212084,33318,5,6,30289.024191728207,Q2264505
34425,Roland Dumas,27,18.4375,192,192,192,-24.24209,12.105523,34425,4,2,3456.0,Q547525
37008,Jacques Villeneuve,24,15.625,0,157,116,15.328772,-21.908657,37008,3,18,557.8604644192419,Q172843
38929,Tonie Marshall,12,12.8125,175,95,13,-21.014389,-4.9298496,38929,2,9,3293.559827753945,Q2555171
39095,Machine à écrire,11,18.4375,0,126,172,-22.821413,19.94715,39095,4,11,2305.0,Q46335
40371,Rio de Janeiro,18,32.5,114,121,10,-20.158014,-13.585498,40371,9,19,28859.998166539328,Q8678
41438,Mylène Demongeot,8,10.0,60,163,0,10.298809,16.971682,41438,1,4,0.0,Q239868
42488,Bernard Le Coq,8,15.625,60,163,0,3.154731,-13.655641,42488,3,4,8529.19897124166,Q346121
42703,Maria Schneider (actrice),22,21.25,0,134,135,19.283426,-16.492409,42703,5,8,16013.0,Q224071
42706,Daniel Duval,22,18.4375,0,134,135,-4.557671,-17.851898,42706,4,8,43487.55091300744,Q778573
43865,Sophie Daumier,8,21.25,60,163,0,13.326238,6.4202275,43865,5,4,2301.1413907243054,Q3490902
