,Label,Id,Degree,modularity_class,betweenesscentrality
663,Apollo_8,663,18,11,36140.12562495594
911,Archipelago,911,11,34,264661.6757468689
1110,Demographics_of_American_Samoa,1110,10,0,62491.20487810871
1111,Politics_of_American_Samoa,1111,14,0,240612.41503993847
1112,Economy_of_American_Samoa,1112,8,0,0.0
1461,Apollo_program,1461,23,11,49485.089613945005
1774,Apollo_9,1774,21,11,433.50531588581566
1966,Apollo_10,1966,15,11,16756.406327687244
3003,Adrian_Lamo,3003,6,16,0.0
3747,Bill_Gates,3747,21,11,130898.23294183178
3785,Bille_August,3785,6,17,69702.96631895873
4054,Battleship,4054,22,1,24426.352057164015
4349,BBC_Red_Button,4349,1,22,0.0
6673,Central_Powers,6673,4,1,52816.11689259534
6700,Cereal,6700,5,14,29703.4776843441
7507,Chronicle,7507,5,2,79797.49999999997
8884,Danse_Macabre,8884,4,17,42742.563284685086
9663,Electronics,9663,2,11,18824.0
9792,Extravehicular_activity,9792,11,11,24.580046269519944
9941,Æthelberht_of_Kent,9941,2,1,0.0
11723,Freddy_Heineken,11723,4,5,0.0
12848,Gary_Gygax,12848,3,34,11.0
13256,Helium,13256,4,11,932.831044436572
14291,Hussites,14291,2,1,14121.000000000004
14626,Ingmar_Bergman,14626,32,17,45216.52940098679
14883,Iberian_Peninsula,14883,16,2,18818.456338696822
16421,Kennedy_Space_Center,16421,11,11,9416.36111111111
16766,Kent,16766,17,5,261805.19633533753
18188,L._Frank_Baum,18188,3,2,9416.999999999998
18738,Liv_Ullmann,18738,18,17,12850.821888528908
18896,Human_spaceflight,18896,16,11,11624.637097548934
19948,Monica_Lewinsky,19948,4,0,24234.869735401608
20366,Cuisine_of_the_Midwestern_United_States,20366,2,14,21828.482091003752
21363,History_of_Nicaragua,21363,2,11,4709.0
22018,"Nashville,_Tennessee",22018,52,8,1603259.4066170193
23347,Paul_Allen,23347,7,11,16331.981049331309
23447,Transportation_in_the_Philippines,23447,2,30,2346.3584645261567
24255,Pandemic,24255,45,27,213506.68403824922
25538,Robyn,25538,9,19,13927.654963139412
26926,Spenser_(character),26926,3,22,2352.5
29209,SS_Kaiser_Wilhelm_der_Grosse,29209,1,26,0.0
29937,Texas_Declaration_of_Independence,29937,3,10,61061.0
30830,The_New_York_Times_Company,30830,11,19,114399.92196808552
31236,Thomas_Vinterberg,31236,2,17,0.0
31758,United_States_congressional_delegations_from_Alabama,31758,5,8,52261.64950530628
32037,Ursula_K._Le_Guin,32037,14,34,18007.658059650174
33124,Wild_Strawberries_(film),33124,18,17,5036.636467399601
33924,Winter_War,33924,5,2,23532.99999999999
34226,Yuri_Gagarin,34226,6,21,28236.999999999996
35943,4th_millennium_BC,35943,4,5,2353.733333333334
37201,Larry_Gelbart,37201,5,10,146431.09799000496
37441,Nitrous_oxide,37441,4,11,18828.999999999993
37915,Die_Meistersinger_von_Nürnberg,37915,3,5,9416.000000000002
37988,United_States_National_Guard,37988,12,11,429811.9631635246
38585,Charles_XIV_John_of_Sweden,38585,9,2,28234.499999999985
39946,Charles_XV_of_Sweden,39946,3,2,16439.499999999993
40377,Ole_Einar_Bjørndalen,40377,4,58,0.0
42653,United_States_National_Forest,42653,3,10,9417.0
42966,Montreal_Canadiens,42966,34,41,195180.61407417993
43382,Zenobia,43382,11,8,19.916666666666664
43413,Aurelian,43413,6,8,9416.0
43568,Tom_Hanks,43568,36,11,1263253.068038658
43807,Lombardy,43807,6,6,10107.79699413199
44324,Commodus,44324,2,8,0.0
44501,Cast_Away,44501,7,11,0.0
44543,Prairie_Prince,44543,7,8,0.0
45492,I_Am_Legend_(novel),45492,2,27,32921.0
47515,Cloud,47515,2,26,4709.0
47568,Low_Earth_orbit,47568,12,11,195.0802924580014
47914,Zealand,47914,1,5,0.0
50484,Goose,50484,3,5,30992.95216286567
51965,Jimmy_Walker,51965,2,5,9286.261964699066
52926,South_East_England,52926,11,5,37526.069122109504
53179,Boeing_B-29_Superfortress,53179,15,5,77713.44163195591
55141,"Monroe_County,_New_York",55141,3,14,2055.400657695566
55661,List_of_Danish_monarchs,55661,4,2,70438.99999999997
55988,Tell_Abu_Hureyra,55988,1,5,0.0
56310,"Douglas_County,_Colorado",56310,2,8,0.0
56506,"Saratoga_County,_New_York",56506,2,8,19358.765025501863
57237,"Putnam_County,_Tennessee",57237,13,8,42732.95057170772
58107,"Montgomery_County,_Texas",58107,1,7,0.0
58119,"Montgomery_County,_Alabama",58119,1,8,0.0
58281,List_of_counties_in_Maine,58281,2,8,4709.0
58593,El_(deity),58593,1,8,0.0
59238,Entomology,59238,4,11,12415.857247185606
59506,Gemara,59506,3,13,9415.999999999996
59922,Peter_Scott,59922,3,5,14333.471201131822
60663,Varese,60663,4,6,15505.105652970513
61141,Song_of_the_South,61141,1,7,0.0
63405,Joe_Clark,63405,4,11,5.0
66049,Võ_Nguyên_Giáp,66049,3,2,0.0
66331,Battle_of_Dien_Bien_Phu,66331,4,2,14120.999999999996
67376,Pope_Leo_IX,67376,3,2,4708.999999999998
68296,"Cabrera,_Balearic_Islands",68296,1,34,0.0
68904,Michael_J._Fox,68904,2,8,4709.0
69792,Fealty,69792,1,2,0.0
69838,William_Friese-Greene,69838,1,5,0.0
70128,E3,70128,4,11,9594.814027440952
71043,"Davis_County,_Utah",71043,2,8,10977.021670746795
71074,"Summit_County,_Utah",71074,2,8,16272.957855772667
72006,"Bradford_County,_Florida",72006,4,8,9416.0
72378,"Hillsborough_County,_Florida",72378,3,8,0.0
72890,Utah_Jazz,72890,25,14,364047.1953816288
73622,"Manatee_County,_Florida",73622,3,8,0.0
73632,"Okaloosa_County,_Florida",73632,7,0,70025.3892169456
74374,Michael_III,74374,2,8,0.0
74651,"Santa_Rosa_County,_Florida",74651,6,0,35344.282066357446
75343,Jim_Shooter,75343,3,21,9415.999999999998
76496,Max_von_Sydow,76496,50,17,535058.5895365616
77156,"Lake_Oswego,_Oregon",77156,2,12,4708.999999999998
77270,Maurice_Richard,77270,13,41,7076.014718614714
77413,Charles_VI_of_France,77413,1,14,0.0
77510,Songbird,77510,1,14,0.0
77667,Siege_of_Petersburg,77667,5,8,4.9
77712,Dead_Sea_Scrolls,77712,5,36,18828.999999999993
77896,"Míchel_(footballer,_born_1963)",77896,4,22,18827.499999999993
78145,The_Tombs_of_Atuan,78145,12,34,24090.505389647078
79533,Centaur_(rocket_stage),79533,4,14,19851.481662878938
80923,A_Letter_to_Three_Wives,80923,4,5,11894.954553000947
87208,Execution_by_firing_squad,87208,1,0,0.0
87635,Third_Anglo-Dutch_War,87635,5,6,18827.0
91208,"Grant_County,_Washington",91208,1,8,0.0
91275,"Northampton_County,_Virginia",91275,2,2,32537.73903710925
91303,"James_City_County,_Virginia",91303,2,61,4709.0
91324,"Floyd_County,_Virginia",91324,3,8,4186.9624634446545
91425,"Trinity_County,_Texas",91425,3,8,0.0
91468,"Reeves_County,_Texas",91468,4,8,322330.3625913929
91512,"Loving_County,_Texas",91512,5,8,54196.68673610666
91529,"King_County,_Texas",91529,5,8,12485.61984340248
91672,"Wilson_County,_Tennessee",91672,15,8,42367.59129170151
91674,"Williamson_County,_Tennessee",91674,7,8,9727.760667674585
91772,"Benton_County,_Tennessee",91772,11,8,37062.985609864634
91861,"Richland_County,_South_Carolina",91861,6,8,3771.77455639637
91862,"Pickens_County,_South_Carolina",91862,5,8,919.7948642572959
91881,"Kershaw_County,_South_Carolina",91881,2,8,1890.823697871824
91887,"Greenville_County,_South_Carolina",91887,5,8,919.7948642572959
91898,"Chester_County,_South_Carolina",91898,2,8,35.303390010795894
91900,"Charleston_County,_South_Carolina",91900,6,8,10335.794864257321
91921,"Wayne_County,_Pennsylvania",91921,1,8,0.0
91922,"Washington_County,_Pennsylvania",91922,3,14,0.0
91939,"Monroe_County,_Pennsylvania",91939,4,14,280.0914787804377
92170,"Trumbull_County,_Ohio",92170,2,0,8360.70726108545
93028,"Stark_County,_Ohio",93028,2,0,3956.020882287806
93135,"Butler_County,_Ohio",93135,1,0,0.0
93159,"Ward_County,_North_Dakota",93159,1,8,0.0
93328,"Chatham_County,_North_Carolina",93328,1,8,0.0
93505,"Grafton_County,_New_Hampshire",93505,1,8,0.0
93805,Bel_(mythology),93805,4,8,0.0
94641,"Henry_County,_Missouri",94641,1,8,0.0
94645,"Greene_County,_Missouri",94645,2,8,4709.000000000002
94832,"Forrest_County,_Mississippi",94832,1,8,0.0
94918,"Ramsey_County,_Minnesota",94918,6,8,28235.0
94930,"Olmsted_County,_Minnesota",94930,3,8,0.0
94991,"Carver_County,_Minnesota",94991,3,8,0.0
95002,"Anoka_County,_Minnesota",95002,3,8,0.0
95030,"Washtenaw_County,_Michigan",95030,10,8,103640.67084742528
95035,"St._Clair_County,_Michigan",95035,3,8,0.0
95059,"Montcalm_County,_Michigan",95059,5,8,1238.1771610145943
95073,"Livingston_County,_Michigan",95073,8,8,165.06494918776912
95078,"Keweenaw_County,_Michigan",95078,7,8,67.31508337867649
95079,"Kent_County,_Michigan",95079,10,8,2285.6720578165705
95089,"Ingham_County,_Michigan",95089,11,8,46965.91118724751
95488,"Piscataquis_County,_Maine",95488,2,8,9416.0
95500,"Androscoggin_County,_Maine",95500,1,8,0.0
95721,"Franklin_County,_Kansas",95721,1,7,0.0
96088,"Noble_County,_Indiana",96088,2,8,0.0
96097,"Marion_County,_Indiana",96097,4,8,4707.499999999996
96115,"Hendricks_County,_Indiana",96115,4,8,4707.499999999996
96225,"Kane_County,_Illinois",96225,3,66,4709.0
96265,"Cumberland_County,_Illinois",96265,2,66,0.0
96355,"Blaine_County,_Idaho",96355,3,39,14120.999999999996
96362,"Ada_County,_Idaho",96362,3,39,4708.999999999998
96778,"Floyd_County,_Georgia",96778,3,8,3576.7354969799453
96804,"Clayton_County,_Georgia",96804,3,8,3576.7354969799453
96949,"Summit_County,_Colorado",96949,3,8,4709.0
96960,"Pitkin_County,_Colorado",96960,2,7,0.0
96998,"Eagle_County,_Colorado",96998,2,7,0.0
97694,"Jefferson_Parish,_Louisiana",97694,1,8,0.0
98350,Soyuz_1,98350,2,21,4708.999999999998
98369,Jethro_Tull_(band),98369,7,11,32927.0
