,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,4.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,20924.52961489424,29.0,3548.0
1,4.0,48.0,Лавра,0.23371636867523196,Q824786,STEM.STEM*,20924.52961489424,29.0,3548.0
2,4.0,48.0,Лавра,0.1732981950044632,Q824786,Culture.Visual_arts.Visual_arts*,20924.52961489424,29.0,3548.0
3,4.0,48.0,Лавра,0.14805719256401062,Q824786,History_and_Society.Society,20924.52961489424,29.0,3548.0
4,4.0,48.0,Лавра,0.13661839067935946,Q824786,STEM.Biology,20924.52961489424,29.0,3548.0
5,4.0,48.0,Лавра,0.13661839067935946,Q824786,Culture.Visual_arts.Architecture,20924.52961489424,29.0,3548.0
6,4.0,48.0,Лавра,0.1259327530860901,Q824786,Culture.Sports,20924.52961489424,29.0,3548.0
7,4.0,48.0,Лавра,0.12253321707248688,Q824786,Culture.Media.Media*,20924.52961489424,29.0,3548.0
8,4.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Europe.Europe*,20924.52961489424,29.0,3548.0
9,4.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Asia.Asia*,20924.52961489424,29.0,3548.0
10,1.0,580.0,"Бернстайн, Леонард",0.99745911359787,Q152505,Culture.Biography.Biography*,0.0,3.0,2991.0
11,1.0,580.0,"Бернстайн, Леонард",0.9433575868606568,Q152505,Culture.Media.Music,0.0,3.0,2991.0
12,1.0,580.0,"Бернстайн, Леонард",0.91965252161026,Q152505,Culture.Media.Media*,0.0,3.0,2991.0
13,1.0,580.0,"Бернстайн, Леонард",0.4378334879875183,Q152505,Culture.Performing_arts,0.0,3.0,2991.0
14,1.0,580.0,"Бернстайн, Леонард",0.0,Q152505,Geography.Regions.Europe.Europe*,0.0,3.0,2991.0
15,1.0,580.0,"Бернстайн, Леонард",0.0,Q152505,Geography.Regions.Americas.North_America,0.0,3.0,2991.0
16,3.0,1090.0,Тегеран-43,0.9637899398803712,Q1125687,Culture.Media.Films,6932.042973603767,10.0,2790.0
17,3.0,1090.0,Тегеран-43,0.946606695652008,Q1125687,Culture.Media.Media*,6932.042973603767,10.0,2790.0
18,3.0,1090.0,Тегеран-43,0.2942249774932861,Q1125687,History_and_Society.Military_and_warfare,6932.042973603767,10.0,2790.0
19,3.0,1090.0,Тегеран-43,0.014629947185516357,Q1125687,Geography.Regions.Europe.Europe*,6932.042973603767,10.0,2790.0
20,6.0,1179.0,"Филозов, Альберт Леонидович",0.9983615279197692,Q3391400,Culture.Biography.Biography*,143522.1246906703,3.0,2956.0
21,6.0,1179.0,"Филозов, Альберт Леонидович",0.3276783227920532,Q3391400,History_and_Society.Society,143522.1246906703,3.0,2956.0
22,6.0,1179.0,"Филозов, Альберт Леонидович",0.10375863313674928,Q3391400,History_and_Society.Military_and_warfare,143522.1246906703,3.0,2956.0
23,6.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Asia.North_Asia,143522.1246906703,3.0,2956.0
24,6.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Europe.Europe*,143522.1246906703,3.0,2956.0
25,6.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Europe.Eastern_Europe,143522.1246906703,3.0,2956.0
26,6.0,1179.0,"Филозов, Альберт Леонидович",0.0,Q3391400,Geography.Regions.Asia.Asia*,143522.1246906703,3.0,2956.0
27,1.0,1182.0,"Стриженов, Глеб Александрович",0.9939124584197998,Q4443978,Culture.Biography.Biography*,0.0,3.0,2722.0
28,1.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,0.0,3.0,2722.0
29,1.0,1182.0,"Стриженов, Глеб Александрович",0.1824355274438858,Q4443978,History_and_Society.Society,0.0,3.0,2722.0
30,1.0,1182.0,"Стриженов, Глеб Александрович",0.16452647745609286,Q4443978,History_and_Society.History,0.0,3.0,2722.0
31,1.0,1182.0,"Стриженов, Глеб Александрович",0.07650540971755981,Q4443978,Geography.Regions.Asia.North_Asia,0.0,3.0,2722.0
32,1.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Europe.Eastern_Europe,0.0,3.0,2722.0
33,1.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Europe.Europe*,0.0,3.0,2722.0
34,1.0,1182.0,"Стриженов, Глеб Александрович",0.0,Q4443978,Geography.Regions.Asia.Asia*,0.0,3.0,2722.0
35,5.0,1618.0,Днестр,0.8933194279670715,Q131210,Geography.Geographical,7831.979345752426,14.0,3233.0
36,5.0,1618.0,Днестр,0.8774868249893188,Q131210,Geography.Regions.Europe.Europe*,7831.979345752426,14.0,3233.0
37,5.0,1618.0,Днестр,0.8706072568893433,Q131210,Geography.Regions.Europe.Eastern_Europe,7831.979345752426,14.0,3233.0
38,5.0,1618.0,Днестр,0.2689514458179474,Q131210,History_and_Society.Society,7831.979345752426,14.0,3233.0
39,3.0,1644.0,"Чирков, Борис Петрович",0.9969346523284912,Q584450,Culture.Biography.Biography*,14475.178825480638,3.0,3254.0
40,3.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,14475.178825480638,3.0,3254.0
41,3.0,1644.0,"Чирков, Борис Петрович",0.287777841091156,Q584450,History_and_Society.Society,14475.178825480638,3.0,3254.0
42,3.0,1644.0,"Чирков, Борис Петрович",0.2120788097381592,Q584450,History_and_Society.History,14475.178825480638,3.0,3254.0
43,3.0,1644.0,"Чирков, Борис Петрович",0.2047950496673584,Q584450,Geography.Regions.Asia.Asia*,14475.178825480638,3.0,3254.0
44,3.0,1644.0,"Чирков, Борис Петрович",0.19165198707580566,Q584450,Geography.Regions.Asia.North_Asia,14475.178825480638,3.0,3254.0
45,3.0,1644.0,"Чирков, Борис Петрович",0.16442059183120727,Q584450,Geography.Regions.Europe.Eastern_Europe,14475.178825480638,3.0,3254.0
46,3.0,1644.0,"Чирков, Борис Петрович",0.13604079389572146,Q584450,Geography.Regions.Europe.Europe*,14475.178825480638,3.0,3254.0
47,18.0,2846.0,Малайзия,0.9983093142509459,Q833,Geography.Geographical,41110.69317140936,9.0,44291.0
48,18.0,2846.0,Малайзия,0.9706977605819702,Q833,Geography.Regions.Asia.Asia*,41110.69317140936,9.0,44291.0
49,18.0,2846.0,Малайзия,0.6001983880996704,Q833,Geography.Regions.Asia.Southeast_Asia,41110.69317140936,9.0,44291.0
50,18.0,2846.0,Малайзия,0.18714269995689392,Q833,History_and_Society.Society,41110.69317140936,9.0,44291.0
51,27.0,3388.0,Административное деление Украины,0.4889964332580566,Q203323,Geography.Regions.Europe.Eastern_Europe,35378.49238252213,14.0,9276.0
52,27.0,3388.0,Административное деление Украины,0.43713401460647583,Q203323,Geography.Regions.Europe.Europe*,35378.49238252213,14.0,9276.0
53,4.0,3484.0,"Миних, Бурхард Кристоф",0.9937201142311096,Q61710,Culture.Biography.Biography*,3895.0,16.0,3040.0
54,4.0,3484.0,"Миних, Бурхард Кристоф",0.6442351341247559,Q61710,History_and_Society.Military_and_warfare,3895.0,16.0,3040.0
55,4.0,3484.0,"Миних, Бурхард Кристоф",0.17818872833251953,Q61710,Geography.Regions.Europe.Europe*,3895.0,16.0,3040.0
56,4.0,3484.0,"Миних, Бурхард Кристоф",0.15611489117145538,Q61710,History_and_Society.Society,3895.0,16.0,3040.0
57,4.0,3484.0,"Миних, Бурхард Кристоф",0.0,Q61710,Geography.Regions.Europe.Eastern_Europe,3895.0,16.0,3040.0
58,4.0,3484.0,"Миних, Бурхард Кристоф",0.0,Q61710,Geography.Regions.Europe.Western_Europe,3895.0,16.0,3040.0
59,4.0,3484.0,"Миних, Бурхард Кристоф",0.0,Q61710,Geography.Regions.Europe.Northern_Europe,3895.0,16.0,3040.0
60,18.0,4089.0,Керченский пролив,0.7057950496673584,Q187890,History_and_Society.Society,6740.3065097038525,20.0,38541.0
61,18.0,4089.0,Керченский пролив,0.6654205918312073,Q187890,Geography.Regions.Europe.Europe*,6740.3065097038525,20.0,38541.0
62,18.0,4089.0,Керченский пролив,0.6513648629188538,Q187890,Geography.Geographical,6740.3065097038525,20.0,38541.0
