,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
40,Aude (département),25.0,192,192,192,24.567013,-3.6368768,40,7,24,12375.7,Q3207
430,Billy Wilder,22.5,41,139,0,2.8700469,-2.1335354,430,6,14,4242.696613697574,Q51547
728,Cecil B. DeMille,22.5,41,139,0,-17.897793,17.07912,728,6,14,4167.148999365062,Q72267
1166,Finnois,20.0,0,126,172,-1.5331038,9.383853,1166,5,21,23065.0,Q1412
1353,Haute-Loire,20.0,192,192,192,19.419691,7.120805,1353,5,24,6833.0,Q12572
1889,Louis Malle,30.0,0,134,135,-3.3725579,-19.667057,1889,9,5,43133.328522047435,Q55392
6877,Gujarat,17.5,193,77,88,1.031823,6.303474,6877,4,16,5457.5,Q1061
7559,Nebraska,15.0,0,126,172,-23.719118,20.358133,7559,3,3,10443.516299992578,Q1553
7946,Pendjabi,10.0,193,77,88,17.261118,21.501684,7946,1,16,0.0,Q58635
8391,Antisémitisme,40.0,0,134,74,-13.161551,16.61449,8391,13,4,168545.1869410395,Q22649
8445,Maurice Pialat,30.0,0,134,135,11.0397005,-14.053739,8445,9,5,9363.22123017142,Q503898
8492,César du cinéma,62.5,0,134,135,8.066295,-8.191541,8492,22,5,171424.7169804422,Q174389
9368,Guy Drut,20.0,0,168,183,16.11336,-3.7756596,9368,5,12,1378.228506352035,Q365638
9600,François Guillaume,20.0,0,168,183,19.114809,21.775269,9600,5,12,0.037037037037037035,Q3084796
10039,Révisionnisme,20.0,192,192,192,-5.2510896,-11.265339,10039,5,11,1.0968253968253967,Q874803
10040,Négationnisme,40.0,192,192,192,14.769518,17.239004,10040,13,11,4506.746031745995,Q574456
10620,Georges Tron,15.0,192,192,192,21.936848,23.142738,10620,3,22,4103.0,Q3103572
10680,Éric Woerth,12.5,255,42,47,-13.830466,-22.302843,10680,2,8,1369.0,Q288486
11035,Jean Yanne,70.0,193,77,88,-12.306836,23.280916,11035,25,5,127317.66564962333,Q106225
11294,Bonneville (Haute-Savoie),10.0,192,192,192,-4.9624395,-23.398205,11294,1,22,0.0,Q460795
11333,Accident nucléaire de Three Mile Island,12.5,193,77,88,-22.968075,-22.152893,11333,2,5,0.0,Q840847
11932,"Aliens, le retour",15.0,253,0,107,5.561101,18.096619,11932,3,7,13744.97447810179,Q104814
11933,Alien 3,12.5,253,0,107,-3.6837137,-12.604978,11933,2,7,0.0,Q108543
11934,"Alien, la résurrection",15.0,253,0,107,-24.46627,-16.277393,11934,3,7,11892.1183934457,Q458314
12059,Étienne Chatiliez,20.0,0,157,116,12.279312,-15.110894,12059,5,23,2360.996981113378,Q289512
12417,Juan Manuel Fangio,27.5,0,164,49,-2.8153017,24.129326,12417,8,10,95.65312205679497,Q2069
12575,Hesse (Land),22.5,0,134,74,-10.822086,12.37639,12575,6,4,73873.48812208143,Q1199
13138,Carcassonne,27.5,192,192,192,-5.7063265,21.524563,13138,8,24,40420.29479109141,Q6582
13708,Léopold Ier (roi des Belges),22.5,255,42,47,-12.45135,4.6060143,13708,6,8,25748.583333333332,Q12971
13939,Simetierre (roman),10.0,0,126,172,19.801575,24.891924,13939,1,3,0.0,Q742226
14364,Ankara,15.0,193,77,88,-12.668786,17.804201,14364,3,16,11472.127634396958,Q3640
14441,Comte de Lautréamont,15.0,192,192,192,16.53235,-17.763338,14441,3,11,4103.0,Q294181
15416,Indira Gandhi,15.0,193,77,88,-18.602974,-24.737522,15416,3,16,1364.0,Q1149
15576,Fêtes et jours fériés en Allemagne,15.0,0,134,74,-9.801301,18.13701,15576,3,4,2737.0,Q649352
17270,Politique en Allemagne,12.5,0,134,74,19.232204,23.226135,17270,2,4,0.0,Q159493
19546,Vitry-le-François,10.0,192,192,192,-13.418632,-2.6908922,19546,1,24,0.0,Q623374
22463,Auray,15.0,114,121,10,5.257961,3.8295436,22463,3,20,57143.0,Q62958
26775,Roger Garaudy,20.0,192,192,192,-20.180668,-15.939807,26775,5,11,30981.0,Q160619
27402,Folklore,20.0,152,129,0,-16.03534,-4.5641885,27402,5,0,16092.216989723065,Q36192
27576,Hervé Gaymard,10.0,255,42,47,-23.082344,-11.973901,27576,1,8,0.0,Q182786
28572,Austin (Texas),25.0,0,164,49,-15.784812,-23.024162,28572,7,10,13631.92084234072,Q16559
30500,Charles Denner,17.5,193,77,88,10.236268,18.781576,30500,4,5,8531.91819249775,Q1064099
30522,Michel Auclair,15.0,0,134,135,24.31963,7.141006,30522,3,5,1423.5377229959538,Q566803
32181,Affaire Elf,20.0,255,42,47,21.506805,-0.17344001,32181,5,8,2428.6411254389272,Q2825778
32783,Franc-maçonnerie,45.0,255,42,47,-6.4285245,-1.4863737,32783,15,8,41410.53631859442,Q41726
37008,Jacques Villeneuve,25.0,0,164,49,-22.002392,17.45965,37008,7,10,258.17180215668606,Q172843
38929,Tonie Marshall,17.5,185,97,239,16.853918,16.34363,38929,4,5,50967.7915474074,Q2555171
39083,Ravachol,17.5,192,192,192,4.5689125,0.8143729,39083,4,24,455.3333333333556,Q558456
39298,Belle de jour (film),10.0,0,134,135,-7.211368,14.30982,39298,1,5,0.0,Q470375
40041,Fernando Collor de Mello,47.5,0,148,245,2.5368738,18.849644,40041,16,15,1874.055119572928,Q236503
40195,Rébellion des Patriotes,10.0,0,126,172,-14.913746,23.614199,40195,1,21,0.0,Q2466441
40551,Grand Orient de France,37.5,255,42,47,23.335733,21.759787,40551,12,8,20742.82316373739,Q1542667
41442,Alexandra London,15.0,0,134,135,20.445272,18.75359,41442,3,5,1192.537537294084,Q289594
41465,Tenue de soirée,10.0,185,97,239,-24.587328,23.518223,41465,1,5,0.0,Q318838
41493,Nulle part ailleurs,75.0,235,94,0,2.6447053,7.2693353,41493,27,1,23208.134493733745,Q3346237
41494,Robin Renucci,10.0,192,192,192,9.399273,-20.629986,41494,1,7,0.0,Q2159896
42488,Bernard Le Coq,30.0,193,77,88,-22.152311,8.587259,42488,9,5,61387.68668315814,Q346121
42489,Capitaine Conan,25.0,193,77,88,-18.38577,-22.672537,42489,7,5,8809.628528895706,Q919635
42990,Montserrat (Antilles),15.0,54,124,233,-9.02158,-13.71431,42990,3,3,4101.0,Q13353
43315,Juliette Drouet,10.0,0,168,183,-14.32745,14.3691025,43315,1,12,0.0,Q440119
43681,Jeux interdits,17.5,0,134,74,-9.511201,-15.3283415,43681,4,4,5039.245472472418,Q976558
43686,Jean-Laurent Cochet,17.5,193,77,88,-14.01931,0.7707108,43686,4,5,1362.8702726259185,Q999960
43889,Caroline Cellier,27.5,193,77,88,4.1627893,15.929482,43889,8,5,14815.928021621421,Q273292
43892,Mille milliards de dollars,40.0,193,77,88,16.419312,-23.90161,43892,13,5,9333.409433107861,Q2397349
43912,Jean Poiret,27.5,193,77,88,-12.558912,19.429205,43912,8,5,16499.597163071165,Q1685772
44107,Nicole Garcia,22.5,193,77,88,16.74464,15.241553,44107,6,5,28553.462664788138,Q434060
44281,Jean-Claude Dauphin,12.5,0,126,172,-3.968879,-18.121302,44281,2,5,299.77777777777754,Q1684746
45154,Jean-Jacques Annaud,15.0,0,134,135,0.668612,0.619035,45154,3,5,19609.904264520606,Q154490
45267,Organisation communiste internationaliste,10.0,0,168,183,-6.06669,14.598494,45267,1,12,0.0,Q1828329
45507,Robert Faurisson,52.5,192,192,192,-2.9393873,14.5357065,45507,18,11,13606.84603174603,Q312519
45864,Affaire des fiches (France),20.0,255,42,47,-21.067705,-16.202545,45864,5,8,0.0,Q2825979
46069,Économie du Brésil,15.0,0,148,245,5.6832533,-7.481951,46069,3,15,2736.0,Q845120
46187,"La Ligne rouge (film, 1998)",12.5,54,124,233,1.4069014,3.3195326,46187,2,3,1369.0,Q221491
46546,Anna Karina,10.0,152,129,0,6.475412,13.932249,46546,1,5,0.0,Q232113
46767,Valérie Stroh,22.5,152,129,0,-15.149352,24.89268,46767,6,5,0.0,Q3554312
47749,Pierre Tchernia,37.5,185,97,239,-17.86352,18.66632,47749,12,5,53630.10112077982,Q1894524
49754,Les Indes galantes,10.0,193,77,88,-15.491285,-13.928392,49754,1,5,0.0,Q583297
49927,Abdellatif Kechiche,27.5,0,134,135,-18.2103,2.3405094,49927,8,5,17983.270091461327,Q307996
50058,Jacques François,17.5,193,77,88,-9.607835,4.239055,50058,4,5,1815.198485188634,Q162701
51386,Erich von Stroheim,17.5,41,139,0,13.061568,-22.645958,51386,4,14,0.0,Q78508
51847,Bernard Campan,17.5,0,126,172,-1.2639303,14.616327,51847,4,5,34381.929323726275,Q822345
53073,Alex Métayer,10.0,192,192,192,-20.048086,-23.715528,53073,1,7,0.0,Q2832997
53627,Pilat,10.0,192,192,192,15.357742,-24.997467,53627,1,24,0.0,Q2622219
54136,Yann Tiersen,15.0,152,129,0,-22.126518,-9.059876,54136,3,0,8919.567075693176,Q157256
54256,Giacomo Puccini,20.0,193,77,88,-24.860935,10.404821,54256,5,5,8197.0,Q7311
55098,Louis Leprince-Ringuet,10.0,0,157,116,-13.422593,-4.121843,55098,1,23,0.0,Q554018
55483,Anguilla,15.0,54,124,233,23.091528,-11.093224,55483,3,3,1369.0,Q25228
55500,Harry Belafonte,12.5,0,134,74,-11.458688,13.505772,55500,2,24,11182.412200234952,Q214959
55929,Entente cordiale,15.0,255,42,47,-16.371208,14.826261,55929,3,8,4103.0,Q464399
58431,Newcastle upon Tyne,20.0,235,44,170,15.977691,8.5667305,58431,5,9,4104.0,Q1425428
58453,Sunderland,10.0,235,44,170,-19.1077,-19.469404,58453,1,9,0.0,Q188304
58939,Colin McRae,12.5,192,192,192,13.697466,-21.596888,58939,2,25,0.0,Q201291
59107,Groupe du Rassemblement démocratique et social européen,17.5,0,168,183,-14.454082,9.398665,59107,4,12,6.0133333333333345,Q2330141
59380,Diane Dufresne,12.5,153,96,160,-10.894527,24.970545,59380,2,19,1369.0,Q3026211
59426,Bruno Gollnisch,25.0,192,192,192,-14.713018,-6.4651837,59426,7,11,685.7603174603174,Q463260
61177,Arletty,15.0,193,77,88,3.0401144,-2.198794,61177,3,5,602.3482240357007,Q235617
61453,Hortense de Beauharnais,10.0,255,42,47,-5.4592333,-19.12315,61453,1,8,0.0,Q229875
62929,Angel (série télévisée),27.5,253,0,107,-21.666399,21.718622,62929,8,7,18189.408487826226,Q212156
63904,Liste des membres du Conseil constitutionnel français,10.0,0,168,183,-18.516224,22.183569,63904,1,12,0.0,Q3251719
64509,Rox et Rouky,12.5,0,126,172,-24.468891,2.5554724,64509,2,21,0.0,Q40302
65374,Desmond Llewelyn,17.5,0,160,220,24.296026,2.7074666,65374,4,17,0.0,Q29092
