,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
781620,Pepe_Reina,10.0,60,163,0,12.292123,5.4995174,781620,1,2,0.0
791377,Hamlaoui_Mekachera,10.0,0,168,183,21.11837,19.99987,791377,1,12,0.0
791391,INXS,15.0,152,129,0,-0.87862206,-24.857246,791391,3,0,2736.0
792429,Hervé_Mathoux,15.0,235,44,170,-17.325598,-23.340443,792429,3,2,4887.231952731436
794491,Long_Chris,10.0,192,192,192,11.977033,10.862168,794491,1,13,0.0
798055,Serge_Fiori,32.5,153,96,160,4.726467,-8.427069,798055,10,19,10904.804268284443
799904,Michel_Normandeau,17.5,153,96,160,-11.842013,11.660587,799904,4,19,0.3333333333333333
799911,Louis_Valois,12.5,153,96,160,14.058449,5.812542,799911,2,19,0.0
800798,Toy_Story_2,20.0,253,0,107,6.7921743,15.706087,800798,5,7,36535.98153823766
803561,Sami_Bouajila,12.5,253,0,107,5.482459,-10.082762,803561,2,7,1369.0
805348,Antonio_Valencia,12.5,60,163,0,10.83635,20.54579,805348,2,2,27.233333333333363
806411,Bodyguard,10.0,152,129,0,-22.166603,8.248078,806411,1,0,0.0
812785,Vincent_Reynouard,22.5,192,192,192,-4.3682184,12.49337,812785,6,11,1.0944444444444446
814489,Anthony_Le_Tallec,15.0,235,44,170,7.95702,19.93724,814489,3,2,1186.445552683053
815580,Gilles_Simon,57.5,114,121,10,-18.421835,-19.985598,815580,20,20,8063.857197648098
816227,Perquisition,15.0,192,192,192,-10.54996,8.751329,816227,3,24,546.3842323156028
816737,Marie-Mai,17.5,153,96,160,6.2330284,24.25124,816737,4,19,15652.43506957935
821861,Arnauld_Champremier-Trigano,10.0,192,192,192,-2.8695881,21.800823,821861,1,22,0.0
823038,Pete_Postlethwaite,10.0,0,134,74,-16.252125,5.4024987,823038,1,4,0.0
831126,Gérard_Séty,12.5,0,134,135,-2.3423264,-10.6993,831126,2,5,0.0
834494,Obédience_maçonnique,25.0,255,42,47,11.910306,-7.224608,834494,7,8,2.0
839318,Loge_maçonnique,25.0,255,42,47,-6.4189515,-16.537752,839318,7,8,0.4
840952,Pierre_Lescure,20.0,235,94,0,-9.316897,22.891449,840952,5,1,1886.9751629957307
843354,Maxime_Médard,12.5,235,44,170,-1.4062599,16.147577,843354,2,9,0.0
846728,Marilyne_Canto,12.5,54,124,233,-1.0734625,-9.506799,846728,2,5,8711.414949730095
848621,Jackie_Berroyer,57.5,235,94,0,-11.937149,3.2672703,848621,20,1,4555.263506276045
850647,Sophie_de_Menthon,12.5,185,97,239,13.241014,14.264284,850647,2,18,2363.2221813194133
852806,Mel_Ferrer,12.5,193,77,88,22.920773,-24.180716,852806,2,5,0.0
853431,Julie_Bataille,10.0,185,97,239,-20.69531,-22.838121,853431,1,5,0.0
856663,Contorsion,10.0,152,129,0,-3.1571462,0.5920861,856663,1,5,0.0
858935,Démographie_du_Brésil,12.5,152,129,0,13.774796,-0.006137273,858935,2,0,1369.0
860608,Joan_Cusack,17.5,253,0,107,-20.191662,1.8494024,860608,4,7,6242.793229504413
860898,Isabel_Otero,15.0,192,192,192,-16.000698,-21.464674,860898,3,7,13609.0
861421,Rite_français,22.5,255,42,47,-12.519607,-13.144239,861421,6,8,0.0
861510,Skellig_Michael,22.5,0,126,172,-6.460778,-3.418648,861510,6,21,4101.25
862682,Sophie_Quinton,10.0,0,157,116,1.988872,2.4297256,862682,1,23,0.0
867747,Beth_Broderick,10.0,54,124,233,3.118508,21.734573,867747,1,3,0.0
871156,"La_colline_a_des_yeux_(film,_2006)",15.0,193,77,88,-10.629817,9.645187,871156,3,0,23711.382914000395
873043,Bronson_Pinchot,20.0,0,126,172,0.40304196,23.586515,873043,5,3,26176.337040141854
873608,Guy_Béart,10.0,0,134,74,3.0745149,-18.446049,873608,1,4,0.0
