Source,Target,Type,Id,Label,timeset,Weight
1178132,57859600,Undirected,13547,223.73624092837105,,223.736237
1178132,58128340,Undirected,13548,286.99488982998145,,286.994904
1178236,1301974,Undirected,13549,275.67206819803454,,275.672058
1178236,1487707,Undirected,13550,359.9741004602418,,359.974091
1178236,2621796,Undirected,13551,327.00689346697476,,327.006897
1178236,16029864,Undirected,13552,265.02890179787727,,265.0289
1178236,17582050,Undirected,13553,272.65550547917553,,272.655518
1180779,3654105,Undirected,13554,218.76128980339263,,218.761292
1180779,15914850,Undirected,13555,201.73219876545113,,201.732193
1180779,22728395,Undirected,13556,219.5544179581358,,219.554413
1180779,24449056,Undirected,13557,246.09318717582613,,246.093185
1180779,31966901,Undirected,13558,245.38808275676388,,245.388077
1180779,42557486,Undirected,13559,273.07988582787544,,273.079895
1181559,24648613,Undirected,13560,370.24368780668163,,370.243683
1181828,2063777,Undirected,13561,315.27651931104225,,315.27652
1181828,6113208,Undirected,13562,335.7780662599056,,335.778076
1181828,25558938,Undirected,13563,344.0486230217832,,344.048615
1181828,42522724,Undirected,13564,330.691964453543,,330.691956
1182121,4874283,Undirected,13565,274.79117558931426,,274.791168
1182343,5590004,Undirected,13566,355.16003772157075,,355.160034
1182343,30185559,Undirected,13567,275.9616625313862,,275.96167
1184496,2087605,Undirected,13568,264.83540276805536,,264.835388
1184496,19090012,Undirected,13569,256.44226488894117,,256.442261
1184496,35854195,Undirected,13570,352.51591900952235,,352.51593
1190148,3235772,Undirected,13571,328.66127718768246,,328.661285
1191762,1219194,Undirected,13572,310.0984596729788,,310.09845
1191762,7819359,Undirected,13573,281.9396591495614,,281.939667
1191762,13533520,Undirected,13574,232.61842642433012,,232.618423
1191762,23315594,Undirected,13575,313.6616097420089,,313.661621
1191762,27828829,Undirected,13576,348.7202325422196,,348.720245
1191762,40371923,Undirected,13577,356.66708262090464,,356.667084
1191762,51023629,Undirected,13578,257.9743948746357,,257.974396
1193292,4484555,Undirected,13579,362.0785252311479,,362.078522
1193292,6053359,Undirected,13580,382.61189804494205,,382.611908
1193292,17780763,Undirected,13581,294.3145327015619,,294.314545
1193292,40256601,Undirected,13582,251.11053855385745,,251.110535
1193292,40256608,Undirected,13583,356.7383328487026,,356.738342
1193292,47812067,Undirected,13584,310.6535509703879,,310.653564
1193292,47812775,Undirected,13585,299.0517416260933,,299.051727
1193361,3723271,Undirected,13586,230.27483103945417,,230.274826
1194333,25584621,Undirected,13587,330.0657109653995,,330.065704
1194694,2215723,Undirected,13588,303.32199270329704,,303.321991
1194694,2771471,Undirected,13589,283.394749222584,,283.394745
1194694,14661222,Undirected,13590,271.27816529959176,,271.278168
1197211,6800048,Undirected,13591,220.77008786122138,,220.770081
1198175,53215270,Undirected,13592,253.47428370077557,,253.474289
1201016,5649556,Undirected,13593,254.57485491702354,,254.57486
1201512,1633887,Undirected,13594,203.46696541395386,,203.466965
1201512,1708050,Undirected,13595,275.05980605201836,,275.059814
1201512,1719389,Undirected,13596,301.45306649406814,,301.453064
1201512,1875157,Undirected,13597,336.28528567267426,,336.285278
1201512,2148252,Undirected,13598,217.9802792356155,,217.980286
1201512,2266762,Undirected,13599,348.72766135408705,,348.727661
1201512,3831326,Undirected,13600,289.68317709052883,,289.683167
1201512,5492749,Undirected,13601,312.72836695667934,,312.728363
1201512,15747600,Undirected,13602,257.9150280402763,,257.915039
1201512,23534154,Undirected,13603,275.1316046249631,,275.131592
1201512,24479227,Undirected,13604,331.3162429618318,,331.316254
1201602,3138566,Undirected,13605,274.7086965470029,,274.70871
1204657,2457938,Undirected,13606,242.12141526218318,,242.121414
1205110,1212797,Undirected,13607,313.40232444126025,,313.402313
1205110,1234981,Undirected,13608,213.76929487734236,,213.769302
1205110,2681102,Undirected,13609,254.70715332847078,,254.707153
1205110,29015327,Undirected,13610,249.90808527731934,,249.908081
1205110,36581929,Undirected,13611,349.13774540432973,,349.137756
1205110,37182909,Undirected,13612,365.34777106119,,365.347778
1205665,26113624,Undirected,13613,284.4207661959077,,284.420776
1205665,29334412,Undirected,13614,330.27549433698834,,330.275482
1205665,35901052,Undirected,13615,271.4226897617786,,271.422699
1209297,1877351,Undirected,13616,247.68938774048132,,247.689392
1209297,1877877,Undirected,13617,227.43383030349725,,227.433838
1209297,24341126,Undirected,13618,281.0707066914076,,281.070709
1209852,1233219,Undirected,13619,217.7090897045338,,217.709091
1209852,12846013,Undirected,13620,239.74129308666244,,239.741287
1209852,13576594,Undirected,13621,353.3631039938345,,353.363098
1209852,16213055,Undirected,13622,263.53821330961165,,263.538208
1209852,17691224,Undirected,13623,356.9249962867991,,356.924988
1209852,32972682,Undirected,13624,367.700524700092,,367.700531
1209852,49208539,Undirected,13625,342.10245572625723,,342.102448
1210490,18262913,Undirected,13626,361.10719900671256,,361.107208
1211002,41921070,Undirected,13627,342.77265564469883,,342.772644
1212118,1602582,Undirected,13628,374.455048844332,,374.455048
1212118,1612487,Undirected,13629,369.82555607633515,,369.825562
1212118,1629120,Undirected,13630,316.71783428681135,,316.717834
1212118,2032436,Undirected,13631,355.1689065856632,,355.168915
1212118,2172622,Undirected,13632,369.1305386104329,,369.130524
1212118,2173985,Undirected,13633,378.1866909844608,,378.186676
1212118,2236244,Undirected,13634,318.86574856157597,,318.865753
1212118,2358066,Undirected,13635,357.0785643878077,,357.078552
1212118,2377707,Undirected,13636,370.25643244148375,,370.256439
1212118,2704297,Undirected,13637,368.1887918923876,,368.188782
1212118,4094415,Undirected,13638,319.7609996303087,,319.760986
1212118,4401725,Undirected,13639,361.83508631195775,,361.835083
1212118,4484269,Undirected,13640,333.14024941716275,,333.140259
1212118,5384618,Undirected,13641,359.83694787296804,,359.836945
1212118,6492614,Undirected,13642,308.4790940845448,,308.479095
1212118,7467643,Undirected,13643,371.39863521389276,,371.398621
1212118,7769076,Undirected,13644,315.52579725558275,,315.525787
1212118,8087602,Undirected,13645,350.9646853171218,,350.964691
1212118,8115459,Undirected,13646,380.5022147791379,,380.502228
1212118,8116101,Undirected,13647,368.0055810884477,,368.005585
1212118,8131961,Undirected,13648,342.7550915574632,,342.755096
1212118,8408580,Undirected,13649,332.0877634189851,,332.087769
