,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
0,4.0,1097.0,Armed Forces of Armenia,0.839743971824646,Q935464,History_and_Society.Military_and_warfare,33288.0,19.0,81.0,1942.0,0.04170957775489186,Military_and_warfare,History_and_Society,272.0770468711853,362372.82018463314,0.0007508207892980464
1,26.0,1943.0,Australian Democrats,0.8311530351638794,Q781392,History_and_Society.Politics_and_government,9514.606110440214,17.0,120.0,1011.0,0.11869436201780414,Politics_and_government,History_and_Society,2593.197469711304,135951.87161711606,0.019074378593437663
2,14.0,2299.0,"American Media, Inc.",0.8519628047943115,Q465666,History_and_Society.Business_and_economics,1904271.2254178063,22.0,50.0,1120.0,0.04464285714285714,Business_and_economics,History_and_Society,596.3739633560182,59042.188176959746,0.01010081065370716
3,8.0,2339.0,Avery Hopwood,0.11597072333097458,Q2479506,Culture.Media.Media*,8088.233213742542,47.0,130.0,696.0,0.1867816091954023,Media*,Culture,120.60955226421356,107353.88656267524,0.001123476346557788
4,17.0,2847.0,Aung San Suu Kyi,0.4843900501728058,Q36740,History_and_Society.Society,2637544.541560249,32.0,101.0,1715.0,0.058892128279883375,Society,History_and_Society,831.6977161467074,112697.15132340045,0.007379935574059305
5,12.0,2999.0,Arthur Laurents,0.4532718360424042,Q710334,Culture.Media.Media*,440057.05512513727,1.0,103.0,564.0,0.18262411347517726,Media*,Culture,560.2439893484117,57472.846021540456,0.00974797714277862
6,4.0,3010.0,Alan Jay Lerner,0.585111141204834,Q961893,Culture.Media.Media*,72336.68880734009,0.0,104.0,752.0,0.13829787234042554,Media*,Culture,243.4062347412109,48092.052488327034,0.0050612569467749545
7,11.0,3735.0,Beastie Boys,0.91965252161026,Q214039,Culture.Media.Media*,134235.59374922985,2.0,97.0,589.0,0.16468590831918506,Media*,Culture,981.2692405581474,96666.879085429,0.010151038802969466
8,7.0,4109.0,Leg theory,0.2942249774932861,Q6517148,STEM.STEM*,1741.6297720329467,52.0,8.0,590.0,0.013559322033898305,STEM*,STEM,16.47659873962402,46484.677517324686,0.00035445225436883464
9,12.0,4240.0,Benedictines,0.4843900501728058,Q131132,Culture.Philosophy_and_religion,118094.91015012328,54.0,112.0,1103.0,0.10154125113327288,Philosophy_and_religion,Culture,651.020227432251,78299.16686192155,0.00831452304697325
10,3.0,4248.0,Bowls,0.9324633479118348,Q895471,Culture.Sports,452755.9702677942,14.0,274.0,1060.0,0.25849056603773585,Sports,Culture,766.4848719835283,325814.5723425299,0.0023525186932944185
11,4.0,4893.0,Bob Costas,0.9481645226478576,Q2458861,Culture.Media.Media*,370243.6031419389,6.0,127.0,3475.0,0.03654676258992805,Media*,Culture,481.6675775051117,1372176.3681588992,0.0003510245393246228
12,2.0,4948.0,Banacek,0.9908843636512756,Q2071571,Culture.Media.Media*,44376.0,21.0,18.0,184.0,0.09782608695652174,Media*,Culture,35.67183709144592,1544.8940929099915,0.02309015048679083
13,3.0,5864.0,Customs union,0.5312193632125854,Q218819,History_and_Society.Politics_and_government,1194.9410762630278,32.0,89.0,1715.0,0.05189504373177842,Politics_and_government,History_and_Society,141.83556997776031,112697.15132340045,0.0012585550593975801
14,52.0,6468.0,Country Liberal Party,0.7057950496673584,Q2496080,History_and_Society.Politics_and_government,15659.483929471124,17.0,120.0,1011.0,0.11869436201780414,Politics_and_government,History_and_Society,4404.1611099243155,135951.87161711606,0.03239500168359464
