,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
876,Motor neuron disease,876,3,11,1702.1387016277872,Q3221083
2345,Archbishop of Canterbury,2345,12,29,126216.78838203118,Q29282
2864,Archaeoastronomy,2864,1,0,0.0,Q463923
3335,Baltic Sea,3335,10,0,107521.96784469475,Q545
3776,Bornholm,3776,4,0,4825.999999999612,Q769680
4540,Balts,4540,4,0,3618.9999999999995,Q207761
5192,Geography of Canada,5192,1,0,0.0,Q2939
5363,Video game,5363,23,25,148872.88986606884,Q7889
6176,Cecil B. DeMille,6176,2,21,3621.0,Q72267
7003,Cauchy distribution,7003,1,0,0.0,Q726441
7397,Color blindness,7397,2,8,3621.000000000001,Q133696
7655,Clay Mathematics Institute,7655,3,0,3623.8333333333344,Q857975
14644,Geography of Indonesia,14644,6,1,8104.381818181819,Q1977576
16550,"John, King of England",16550,9,29,4823.1500000002425,Q129308
17190,Kipchoge Keino,17190,1,33,0.0,Q28947
18595,Lex Luthor,18595,5,12,157475.0,Q694790
19121,Politics of the Maldives,19121,11,38,125848.95,Q1153958
19327,Master shot,19327,1,8,0.0,Q473220
20698,Michael Atiyah,20698,9,0,18091.16666666667,Q208356
21559,Nasdaq,21559,6,2,64135.53466720652,Q82059
21746,Nolo contendere,21746,2,7,36120.0,Q1733896
22451,Offshore powerboat racing,22451,1,24,0.0,Q946535
23829,Pope Adrian V,23829,5,29,723.2500000000695,Q173000
23964,PlayStation (console),23964,21,32,48337.599999998325,Q10677
24027,Pope John Paul I,24027,7,29,5069.749999999486,Q37278
24303,Pope Urban VII,24303,5,29,723.2500000000695,Q134337
24434,Pope Innocent V,24434,5,29,723.2500000000695,Q170871
24455,Pope Innocent III,24455,11,29,37341.24166666521,Q128076
24933,Polywater,24933,1,0,0.0,Q1890780
25538,Robyn,25538,6,32,10859.000000000004,Q229445
25813,Rice University,25813,2,16,515.1708326300521,Q842909
28740,Sulawesi,28740,15,1,13619.243398268396,Q3812
30849,"Toledo, Ohio",30849,12,3,298795.42590163613,Q49239
31175,Tobin tax,31175,2,2,0.0,Q853044
31803,"Trinity College, Cambridge",31803,9,14,456212.24717751576,Q332342
32380,Politics of Vietnam,32380,13,38,68461.59487734486,Q1154750
32578,Vermont,32578,14,2,1219102.6204620663,Q16551
32901,Woody Allen,32901,20,8,129258.48081203786,Q25089
34220,X rating,34220,2,6,75621.0,Q1389092
39287,Stephen Langton,39287,5,29,0.0,Q465329
42179,Mount Everest,42179,5,37,16271.000000000002,Q513
42611,McLibel case,42611,2,14,3621.0,Q948164
43223,Alex Ferguson,43223,7,19,180499.70448388148,Q44980
43950,Interstate Highway System,43950,1,2,0.0,Q94247
43951,United States Numbered Highway System,43951,7,3,3.0,Q408192
47974,Dr. No (novel),47974,18,34,36290.058441559966,Q26541
50230,Bruce Nauman,50230,1,16,0.0,Q168665
51301,Pope Pontian,51301,6,29,17353.499999999724,Q132113
53228,Eton College,53228,5,14,260492.4746758575,Q192088
53560,Procellariiformes,53560,6,37,2.3249999999999997,Q21685
55097,U.S. Securities and Exchange Commission,55097,14,2,253004.4493335886,Q953944
55909,Laurel and Hardy,55909,8,21,29144.270046821493,Q33497
56865,Lake Baikal,56865,4,0,10860.000000000005,Q5513
57985,Ian Fleming,57985,25,34,406273.02857142896,Q82104
61191,The Divorcee,61191,2,21,129096.0,Q917469
63579,Manilla,63579,1,5,0.0,Q358539
65444,Glenn Gould,65444,2,30,7240.000000000001,Q216924
66627,The Little Foxes,66627,2,21,3621.0,Q5552630
67916,Strategic Air Command (film),67916,2,21,1.0,Q1660756
70135,Twenty-fifth Amendment to the United States Constitution,70135,1,1,0.0,Q217797
70949,Berengaria of Navarre,70949,4,29,12.5,Q229807
72360,"Flagler County, Florida",72360,1,7,0.0,Q386885
72979,Lake Victoria,72979,7,37,98320.5,Q5505
73313,Hippolytus of Rome,73313,3,29,4337.999999999931,Q207113
73937,Gun Crazy,73937,1,21,0.0,Q783258
77404,List of premiers of New Brunswick,77404,16,30,27.411219336219336,Q822642
77856,Mary Poppins (film),77856,10,8,229323.03026461723,Q209170
78016,"From Russia, with Love (novel)",78016,18,34,6891.225108225131,Q1165753
78738,Hans Geiger,78738,1,0,0.0,Q57189
79796,Matilda of Flanders,79796,2,29,1198.791666666727,Q391944
80867,Sam & Max Hit the Road,80867,5,32,0.0,Q1430706
81575,Parlophone,81575,2,32,28912.000000000007,Q208909
82858,Mars Observer,82858,2,0,0.0,Q634772
82862,HBO World Championship Boxing,82862,5,7,376213.3333333334,Q5629052
83251,Yacht racing,83251,4,37,185832.0,Q8046440
84196,Bob Burnquist,84196,4,32,5429.000000000003,Q668755
85533,United States Electoral College,85533,13,2,634378.7799988352,Q47586
87474,Tony Hawk,87474,4,32,18089.000000000007,Q295020
87525,List of states and territories of the United States by population,87525,2,2,0.0,Q125503
91897,"Chesterfield County, South Carolina",91897,2,9,0.0,Q502419
93241,"Union County, North Carolina",93241,4,9,1810.0,Q508247
93347,"Ashe County, North Carolina",93347,4,9,3621.0,Q491626
93348,"Anson County, North Carolina",93348,4,9,1810.0,Q497830
93597,"Nye County, Nevada",93597,1,2,0.0,Q484418
95060,"Monroe County, Michigan",95060,7,3,3303.4833333335396,Q195658
97590,Captain Marvel (Marvel Comics),97590,24,12,76272.75386167264,Q2937657
98025,Rathlin Island,98025,2,37,0.0,Q1136111
98301,Joker (character),98301,10,12,105038.58333333037,Q217533
100327,Amitābha,100327,2,0,0.0,Q236242
103370,One for the Angels,103370,2,21,3621.0,Q7093475
105100,"Troy, Alabama",105100,1,9,0.0,Q79862
106701,"Snowflake, Arizona",106701,3,2,0.0,Q1012644
109317,"Alva, Florida",109317,1,24,0.0,Q448123
109433,"Hialeah, Florida",109433,2,7,3621.0,Q49276
112814,"New Hartford, Iowa",112814,2,2,0.0,Q1914054
115650,"Ruston, Louisiana",115650,2,9,219.38409624578637,Q2271328
117640,"Port Austin, Michigan",117640,3,3,0.3333333333333333,Q2280639
118197,"Monroe, Michigan",118197,5,3,2401.9999999999404,Q995533
119125,"Port Huron, Michigan",119125,10,3,10862.4,Q1000222
125233,"Guttenberg, New Jersey",125233,2,25,59988.731558115796,Q1021545
125419,"Highland Park, New Jersey",125419,1,2,0.0,Q570889
128332,"Wake Forest, North Carolina",128332,4,9,18085.0,Q2022236
129074,"Berea, Ohio",129074,13,4,0.0,Q818897
130921,"Gresham, Oregon",130921,1,35,0.0,Q81844
134640,"Central, South Carolina",134640,1,2,0.0,Q2190705
135666,"Winnie, Texas",135666,2,40,3621.0,Q981438
135773,"Highland Village, Texas",135773,1,20,0.0,Q250908
136886,"Harrington Park, New Jersey",136886,1,2,0.0,Q1083209
