,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
0,2.0,1051.0,Alexis Carrel,0.998309314250946,Q185777,Culture.Biography.Biography*,232.0,4602.0,146.0,12.0,0.0,11.25,-9.195307000000001,-9.707448,4368.0,1.996618628501892,Culture,Biography*
1,6.0,1200.0,Atomic physics,0.9820237755775452,Q26383,STEM.Physics,97.0,8103.408768368337,136.0,15.0,0.0,16.25,-16.363468,-0.8956069,5364.0,5.892142653465271,STEM,Physics
2,37.0,1750.0,Andaman Islands,0.6442351341247559,Q186233,Geography.Regions.Asia.Asia*,255.0,40864.8905530973,135.0,22.0,0.0,55.0,-1.2021897,20.81984,254827.0,23.836699962615967,Geography,Asia*
3,7.0,1791.0,Anti-ballistic missile,0.585111141204834,Q574594,History_and_Society.Military_and_warfare,0.0,64294.99999999999,155.0,4.0,69.0,17.5,16.646498,13.823251,8113.0,4.095777988433838,History_and_Society,Military_and_warfare
4,2.0,2238.0,Antipope John XXIII,0.9972090721130372,Q294599,Culture.Biography.Biography*,192.0,0.0,192.0,26.0,192.0,11.25,15.534996,-8.617989999999999,4350.0,1.9944181442260744,Culture,Biography*
5,2.0,2340.0,Antipope Felix II,0.9697954058647156,Q299410,Culture.Biography.Biography*,192.0,0.0,192.0,26.0,192.0,11.25,-11.043402,-22.291103,2206.0,1.9395908117294312,Culture,Biography*
6,4.0,4754.0,Blue Streak (missile),0.7186043858528137,Q885899,History_and_Society.Military_and_warfare,0.0,2.5,155.0,4.0,69.0,13.75,18.808428,-0.480191,2407.0,2.874417543411255,History_and_Society,Military_and_warfare
7,1.0,5574.0,History of Croatia,0.9304682612419128,Q210726,History_and_Society.History,192.0,0.0,192.0,4.0,192.0,10.0,0.25860718,-15.788147,5159.0,0.9304682612419128,History_and_Society,History
8,4.0,6446.0,Camouflage,0.2393593490123749,Q196113,STEM.Technology,54.0,19019.606789788668,159.0,18.0,0.0,13.75,-18.332634,22.744215,16475.0,0.9574373960494996,STEM,Technology
9,3.0,6696.0,Chain mail,0.839743971824646,Q659631,History_and_Society.Military_and_warfare,192.0,27587.0,192.0,4.0,192.0,12.5,-17.178188000000002,9.937805,5487.0,2.519231915473938,History_and_Society,Military_and_warfare
