,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
3264263,Anthony_Foley,17.5,176,94,34,2.9230704,5.54819,3264263,7,27,2408.6164505460156
3264823,Jesse_Sapolu,12.5,255,15,65,-16.303082,20.729202,3264823,3,2,0.0
3270351,Renato_Sobral,11.25,154,122,0,-10.388492,-0.7018533,3270351,2,13,0.0
3273672,Juan_Jos?_Linz,12.5,0,146,232,2.0114465,-8.160768,3273672,3,12,0.0
3297723,List_of_Chrysler_factories,13.75,192,192,192,-19.316473,14.34714,3297723,4,28,9205.0
3306033,List_of_former_automotive_manufacturing_plants,17.5,192,192,192,-9.220783,-6.80292,3306033,7,28,19708.08142896546
3313310,Steve_Kragthorpe,16.25,60,119,190,-0.39092913,10.821405,3313310,6,10,2830.815626419503
3323289,"Bear_Down,_Chicago_Bears",21.25,255,15,65,15.067572,14.333548,3323289,10,2,160.46260397650855
3330851,Bob_McNair,12.5,255,15,65,5.821595,-18.994177,3330851,3,2,4602.0
3333416,Christopher_Jones_(Mayflower_captain),16.25,0,174,240,18.107103,12.735677,3333416,6,6,45298.630619933254
3340918,Samuel_Bowers,11.25,192,192,192,4.9297004,-2.4220307,3340918,2,17,8180.013581675749
3342733,Skull_cup,10.0,192,192,192,5.3727527,-22.064932,3342733,1,4,0.0
3353783,Curtis_Davies,17.5,146,108,232,-12.490359,24.675966,3353783,7,21,23263.057515289842
3358513,Namahage,10.0,0,159,54,6.4830594,4.1465783,3358513,1,18,0.0
3360205,Travis_Ford,12.5,192,192,192,-18.543308,-4.127371,3360205,3,32,18358.069524087317
3361801,Alan_Dershowitz,23.75,228,71,225,-7.9896545,13.578945,3361801,12,7,68653.47767582607
3366634,"Social_Democratic_Party_(UK,_1988)",10.0,0,159,54,-8.46988,-23.049585,3366634,1,26,0.0
3382014,Elizabeth_May,11.25,192,192,192,7.486766,-10.799905,3382014,2,28,4602.0
3391588,West_Virginia_Mountaineers,18.75,60,119,190,23.515238,19.554012,3391588,8,10,7986.092167387712
3391625,Dominique_Sanda,15.0,192,192,192,17.422739,8.5016165,3391625,5,18,0.7142857142857142
3398533,Toukie_Smith,11.25,89,127,28,7.134173,17.603088,3398533,2,24,4602.0
3408483,Muriel_Gray,10.0,187,77,156,-16.074574,8.462797,3408483,1,14,0.0
